,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
0,0.99745464,3.0211481e-18,1.0,1.20481925e-17,3.6231884e-18,8.787346e-19,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9974658,2.840909e-18,1.0,1.2987013e-17,3.6630035e-18,8.944544e-19,1.0,1.0,1.0,1.0,1.0,1.0
2,0.99771565,4.524887e-18,5e-16,4.9504952e-18,3.5842294e-18,1.0672359e-18,1.0,1.0,1.0,1.0,1.0,1.0
3,0.997537,1.0526316e-17,1.0,3.0211481e-18,2.4390243e-18,1.0718113e-18,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9967338,6.4935064e-18,1.0,2.2222222e-18,2.3866349e-18,7.570023e-19,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9967408,4.484305e-18,1.0,2.3640663e-18,1.805054e-18,8.779631e-19,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9973807,5.4054053e-18,1.0,2.3980816e-18,2e-18,1.283697e-18,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9976961,6.097561e-18,1.0,2.7247956e-18,2.7322404e-18,1.3192613e-18,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9985479,5e-16,1.0,3.2051282e-18,5.952381e-18,1.7793594e-18,1.0,1.0,1.0,1.0,1.0,1.0
9,0.9989155,1.0,3.030303e-17,4.255319e-18,7.092199e-18,2.6954179e-18,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9994177,1.0,5.8823527e-17,4.0650406e-18,8.928572e-18,2.2727272e-17,1.0,1.0,1.0,1.0,1.0,1.0
11,0.99899346,1.0,1.6666666e-16,4.1322316e-18,2.3094688e-18,2.3255814e-17,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9990505,1.0,1.0,3.2467532e-18,2.8571428e-18,4e-17,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9992397,1.0,1.0,3.236246e-18,5.4945054e-18,1.7857144e-17,1.0,1.0,1.0,1.0,1.0,1.0
14,0.99925363,1.0,1.0,4.672897e-18,7.142857e-18,5.464481e-18,1.0,1.0,1.0,1.0,1.0,1.0
15,0.99936485,1.0,1.0,9.708738e-18,3.4602076e-18,1.5384615e-17,1.0,1.0,1.0,1.0,1.0,1.0
16,0.9995109,1.0,1.0,7.092199e-18,5.235602e-18,5e-17,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9994372,1.0,1.0,3.861004e-18,1.4925374e-17,1.2658228e-17,1.0,1.0,1.0,1.0,1.0,1.0
18,0.99884313,5e-16,2.5e-16,2.840909e-18,8.7719295e-18,2.7777778e-18,1.0,1.0,1.0,1.0,1.0,1.0
19,0.99907,1.0,1.0,3.3670033e-18,3.846154e-17,2.994012e-18,1.0,1.0,8.333333e-17,1.0,1.0,1.0
20,0.99906856,1.0,1.0,4.1841004e-18,5.4054053e-18,4.201681e-18,1.0,1.0,1.25e-16,1.0,1.0,1.0
21,0.9988,1.0,1.0,3.5211267e-18,3.4843205e-18,3.4246576e-18,1.0,1.0,1.0,1.0,1.0,1.0
22,0.99756074,6.666667e-17,4e-17,1.1494253e-18,1.9379845e-18,3.236246e-18,1.0,1.0,5.8823527e-17,1.0,1.0,1.0
23,0.9974505,1.0,1.0,9.718173e-19,2.1551724e-18,3.0959753e-18,1.0,1.0,6.666667e-17,1.0,1.0,1.0
24,0.9975496,8.928572e-18,1.0,9.285051e-19,2.2522523e-18,7.936508e-18,1.0,1.0,1e-15,1.0,1.0,1.0
25,0.9976263,5.6497176e-18,1e-16,9.84252e-19,2.2779042e-18,1.5873015e-17,1.0,1.0,1.0,1.0,1.0,1.0
26,0.9975468,3.4129693e-18,2.3255814e-17,1.0162601e-18,2.8818443e-18,2.3255814e-17,1.0,1.0,1.923077e-17,1.0,1.0,1.0
27,0.9963702,2.9411765e-18,2.2222222e-17,6.1500615e-19,2.6809652e-18,2.0833333e-17,1.0,1.0,5.8139535e-18,1.0,1.0,1.0
28,0.9954839,1.8656718e-18,5.988024e-18,5.56483e-19,2.0964361e-18,1.4084507e-17,1.0,1.0,5.2910054e-18,1.0,1.0,1.0
29,0.9961729,1.869159e-18,1.04166664e-17,6.98324e-19,2.0533882e-18,1.2345679e-17,1.0,1.0,8.7719295e-18,1.0,1.0,1.0
30,0.99759704,3.846154e-17,1.0,8.5910653e-19,2.7472527e-18,1.03092785e-17,1.0,1.0,1.3333333e-17,1.0,1.0,1.0
31,0.9981145,1.0,1.0,1.019368e-18,4.7619047e-18,9.9009905e-18,1.0,1.0,1.5873015e-17,1.0,1.0,1.0
32,0.99805456,3.3333333e-16,1.0,8.354219e-19,1.0526316e-17,3.3333334e-17,1.0,1.0,1.369863e-17,1.0,1.0,1.0
33,0.99779934,4e-17,1.0,8.116883e-19,1.3513513e-17,3.2258065e-17,1.0,1.0,4.56621e-18,1.0,1.0,1.0
34,0.9980476,5e-17,1.0,9.496677e-19,6.666667e-17,3.846154e-17,1.0,1.0,3.4602076e-18,1.0,1.0,1.0
35,0.9983216,8.695652e-18,1.0,1.4513789e-18,1.0,2.2727272e-17,1.2987013e-18,1.0,2.2883296e-18,1.0,1.0,1.0
36,0.99828553,4.854369e-18,1.0,1.6891891e-18,2.5e-16,5.263158e-17,1.2578616e-18,1.0,2.5974025e-18,1.0,1.0,1.0
37,0.99827296,1.1111111e-16,1.0,1.996008e-18,1.0,2.8571427e-17,1.2610341e-18,1.0,1.03092785e-17,1.0,1.0,1.0
38,0.99832636,1.0,1.0,2.5839793e-18,1.0,3.4482758e-17,1.2706481e-18,1.0,1.0,1.0,1.0,1.0
39,0.9981856,1.0,1.0,2.004008e-18,1.0,6.666667e-17,1.2658228e-18,1.0,1.0,1.0,1.0,1.0
40,0.99812657,1.0,1.0,1.7271157e-18,1.7543859e-17,7.692308e-17,1.2610341e-18,1.0,1.04166664e-17,1.0,1.0,1.0
41,0.99774224,1.0,1.0,1.0277493e-18,2.1276596e-17,8.333333e-17,1.2547052e-18,1.0,4.8076924e-18,1.0,1.0,1.0
42,0.99759173,1.0,1.0,1.0131712e-18,1.923077e-17,2.0833333e-17,1.2376238e-18,1.0,6.0240963e-18,1.0,1.0,1.0
43,0.99767965,1.0,1.0,2.1321962e-18,1.0,1.8348624e-18,1.2224938e-18,1.0,6.0240963e-18,1.0,1.0,1.0
44,0.9972795,1.0,1.0,2.1881839e-18,2.0833333e-17,1.4164306e-18,1.2150668e-18,1.0,1.2345679e-17,1.0,1.0,1.0
45,0.9973884,1.0,1.0,2.9498524e-18,1.0,1.24533e-18,1.2269939e-18,1.0,1.2195122e-17,1.0,1.0,1.0
46,0.99123865,3.3333334e-17,1.0,2.173913e-17,1.0,1.8618507e-19,1.2077295e-18,1.0,4.5454544e-17,1.0,1.0,1.0
47,0.99057025,3.3333333e-16,1.0,1.2195122e-17,1.0,1.7188038e-19,1.2150668e-18,1.0,1.0,1.0,1.0,1.0
48,0.98879695,1.0,1.0,1.0638298e-17,1.0,0.17769465,1.2019231e-18,1.0,1.0,1.0,1.0,1.0
49,0.98892164,3.703704e-17,1.0,7.936508e-18,1.0,0.23394546,1.2048193e-18,1.0,1.0,1.0,1.0,1.0
50,0.98564136,6.329114e-18,1.0,8.849558e-18,1.0,0.10174818,1.183432e-18,1.0,1.0,1.0,1.0,1.0
51,0.9852692,3.4482758e-17,1.0,9.433963e-18,1.0,0.05920792,1.1848342e-18,1.0,1.0,1.0,1.0,1.0
52,0.9854827,1.1627907e-17,1.0,8.264463e-18,1.0,0.30289498,1.1737089e-18,1.0,1.0,1.0,1.0,1.0
53,0.9858883,1.2195122e-17,1.0,8.403362e-18,1.0,0.4485469,1.1792453e-18,1.0,1.0,1.0,1.0,1.0
54,0.9862602,1.4285715e-16,1.0,8.547008e-18,3.3333333e-16,0.5160322,1.1862397e-18,1.0,1.4285715e-16,1.0,1.0,1.0
55,0.9859096,2.9154518e-18,1.0,9.009009e-18,5e-16,0.57136124,1.1848342e-18,1.0,1.6666667e-17,1.0,1.0,4.56621e-18
56,0.9867905,2.3255815e-18,4.347826e-17,9.433963e-18,1.1111111e-16,0.6080745,1.1876484e-18,1.0,5.0251255e-18,1.0,1.0,3.875969e-18
57,0.98891664,1.934236e-18,6.666667e-17,9.345794e-18,5.235602e-18,0.72146696,1.1904762e-18,1.0,5.586592e-18,2.232143e-18,1.0,3.5714284e-18
58,0.9886017,9.861933e-19,6.25e-17,9.009009e-18,2.5445294e-18,0.6792624,1.2004802e-18,1.0,1.0752688e-17,2.0449898e-18,1.0,4e-18
59,0.98850906,1.2019231e-18,1e-15,8.130081e-18,1.4792899e-18,0.72980297,1.1976048e-18,1.0,1.8867925e-17,1.0266941e-18,1.0,4.484305e-18
60,0.9868545,1.019368e-18,2.5e-16,6.849315e-18,1.4224751e-18,0.66717345,1.2106538e-18,1.0,5.263158e-17,9.881423e-19,1.0,9.523809e-18
61,0.98822045,1.0373444e-18,5.6497176e-18,6.25e-18,0.10377788,0.74348575,1.2106538e-18,1.0,4.7619047e-17,8.992806e-19,1.0,1.1764706e-17
62,0.98872155,7.067138e-19,4.5454547e-18,2.283105e-18,0.01690141,0.7430527,1.2300123e-18,1.0,3.030303e-17,8.726004e-19,1.0,1.6666667e-17
63,0.9904153,9.551099e-19,3.0959753e-18,1.3157895e-18,0.37123916,0.78996825,1.2224938e-18,1.0,9.090909e-17,8.4459457e-19,1.0,1.6129033e-17
64,0.98956835,6.3979525e-19,0.018796992,1.1013216e-18,0.3814723,0.7728458,1.2106538e-18,1.0,1.6666667e-17,8.3752094e-19,1.0,1.6393443e-17
65,0.99106026,9.208103e-19,0.046242774,1.310616e-18,0.6657297,0.786614,1.2033694e-18,1.0,2.1276596e-17,8.1766147e-19,1.0,1.7241379e-17
66,0.9891773,1.4836795e-18,0.028328612,1.9230768e-18,0.6658831,0.76155245,1.1848342e-18,1.0,3.3333333e-16,8.0840744e-19,1.0,1.851852e-17
67,0.9903229,2.9239766e-18,0.0625,3.2051282e-18,0.72935075,0.7924775,1.1876484e-18,1.0,1.0,7.9554493e-19,1.0,2.0833333e-17
68,0.9911604,7.874016e-18,0.061157025,3.125e-18,0.7654741,0.8113975,1.1709602e-18,1.0,1.0,7.8186083e-19,1.0,1.9607843e-17
69,0.9890694,1.2987013e-17,0.10022779,2.7855154e-18,0.77169746,0.7743792,1.1737089e-18,1.0,1.4285715e-16,7.874016e-19,1.0,1.9607843e-17
70,0.9911392,0.33333334,0.17009449,2.3640663e-18,0.80323404,0.83180606,1.1587485e-18,1.0,1.25e-16,7.8864356e-19,1.0,1.9607843e-17
71,0.9912924,0.32177532,0.29024944,1.396648e-18,0.78688526,0.8453782,1.1520737e-18,1.0,2.9411763e-17,8.071025e-19,1.0,1.923077e-17
72,0.9924686,0.30624464,0.31181103,1.1481056e-18,0.8170021,0.8670304,1.146789e-18,1.0,6.25e-17,8.2236844e-19,1.0,2.2222222e-17
73,0.99215627,0.33877996,0.43131188,1.1627907e-18,0.7898652,0.88233167,1.146789e-18,1.0,5.5555554e-17,8.5470086e-19,1.0,2.5e-17
74,0.9940621,0.5411765,0.4287778,7.336757e-19,0.8130696,0.91806364,1.1587485e-18,1.0,1.6393443e-17,8.857396e-19,1.0,2.4390244e-17
75,0.9935808,0.59972954,0.42919558,7.147963e-19,0.75595236,0.9170498,1.1627907e-18,1.0,8.695652e-18,9.199632e-19,1.0,2.3255814e-17
76,0.9942093,0.6651525,0.46251088,0.0012368584,0.7978281,0.91140765,1.1764706e-18,1.0,4.830918e-18,9.433962e-19,1.0,2e-17
77,0.99270433,0.7583173,0.4451374,0.011022658,0.81297445,0.87325484,1.183432e-18,1.0,6.097561e-18,9.775171e-19,1.0,1.7543859e-17
78,0.9938401,0.6496139,0.5745981,0.0033003301,0.80814636,0.88623106,1.1862397e-18,1.0,9.803922e-18,1.003009e-18,1.0,1.5384615e-17
79,0.9938077,0.6573678,0.68508285,0.022813689,0.80423135,0.87739885,1.1918951e-18,1.0,2.1276596e-17,1.039501e-18,1.0,1.4705882e-17
80,0.9932845,0.6607682,0.7539227,0.036036037,0.8007504,0.8720498,1.183432e-18,1.0,3.125e-17,1.0810811e-18,1.0,1.3888889e-17
81,0.9936802,0.732845,0.83131176,0.046242774,0.8294563,0.8797298,1.1862397e-18,1.0,2.4390244e-17,1.1223345e-18,1.0,1.6129033e-17
82,0.9917237,0.73115486,0.87332624,0.03797468,0.86943454,0.8597709,1.1737089e-18,1.0,3.2258065e-17,1.1820331e-18,1.0,2.173913e-17
83,0.99324256,0.8514276,0.85164136,0.034300793,0.89005667,0.8735513,1.1682243e-18,1.0,8.333333e-17,1.2468827e-18,1.0,1.923077e-17
84,0.99245274,0.8948554,0.7977591,0.041474655,0.88081235,0.8649539,1.1709602e-18,1.0,1.0,1.3351135e-18,1.0,1.9607843e-17
85,0.99370015,0.92663085,0.7634621,0.053675614,0.8846509,0.86033887,1.1614402e-18,1.0,1.0,1.4450867e-18,1.0,1.7543859e-17
86,0.9930173,0.9061529,0.7482,0.07779172,0.8685386,0.85294926,1.1695907e-18,1.0,3.3333333e-16,1.5337424e-18,1.0,1.4925374e-17
87,0.9947109,0.94355077,0.7838366,0.07328605,0.9059519,0.8698211,1.1641443e-18,1.0,6.666667e-17,1.5898251e-18,1.0,1.5625e-17
88,0.9947814,0.9522384,0.8151268,0.15,0.9122601,0.8744597,1.1778563e-18,1.0,5.8823527e-17,1.6778523e-18,1.0,1.5151515e-17
89,0.9952277,0.9541555,0.8378984,0.43857494,0.91153044,0.88896376,1.1778563e-18,1.0,4.1666666e-17,1.7301038e-18,1.0,1.4925374e-17
90,0.9953939,0.9638734,0.8397771,0.49680364,0.90928787,0.88945055,1.1848342e-18,1.0,6.25e-17,1.8382352e-18,1.0,1.3888889e-17
91,0.9955685,0.95616573,0.86720914,0.5821946,0.9232885,0.904357,1.1574074e-18,2e-16,1.0,1.9607843e-18,1.0,1.4925374e-17
92,0.99518734,0.95347285,0.88111407,0.5700374,0.9245313,0.90549964,1.1481056e-18,1.4285715e-16,1.0,2.1008404e-18,1.0,1.369863e-17
93,0.9949659,0.93591267,0.9095101,0.62169313,0.93379396,0.9106468,1.1286682e-18,5.8823527e-17,1e-15,2.3255815e-18,1.0,1.3513513e-17
94,0.99499893,0.95379,0.9104635,0.6469633,0.9334696,0.9098841,1.1261262e-18,4.7619047e-17,3.3333333e-16,2.5188917e-18,1.0,1.369863e-17
95,0.99429214,0.9512293,0.9181444,0.68079877,0.9323027,0.9135176,1.1261262e-18,4.1666666e-17,2.5e-16,2.9325513e-18,1.0,1.2345679e-17
96,0.99430805,0.9615566,0.9198878,0.70008594,0.93437797,0.91107476,1.1299435e-18,3.703704e-17,9.090909e-17,3.4246576e-18,1.0,1.2195122e-17
97,0.9929619,0.95216066,0.9209731,0.71428573,0.93723106,0.8878752,1.1415525e-18,5.263158e-17,1.4285715e-16,4.1841004e-18,1.0,1.4492754e-17
98,0.99410754,0.9521943,0.9255096,0.7329969,0.94248354,0.8953281,1.1389521e-18,4.5454544e-17,2.5e-16,4.587156e-18,1.0,1.3888889e-17
