,Image,F1,Jaccard,Recall,Precision
0,.\files\images\images\heart14-slice000_axial.png,0.9949222222222223,0.9898957515725704,0.9949222222222223,0.9949222222222223
1,.\files\images\images\heart14-slice001_axial.png,0.9949444444444444,0.9899397490464872,0.9949444444444444,0.9949444444444444
2,.\files\images\images\heart14-slice002_axial.png,0.9954416666666667,0.9909247015686827,0.9954416666666667,0.9954416666666667
3,.\files\images\images\heart14-slice003_axial.png,0.9950861111111111,0.990220278686123,0.9950861111111111,0.9950861111111111
4,.\files\images\images\heart14-slice004_axial.png,0.9934888888888889,0.9870620184134413,0.9934888888888889,0.9934888888888889
5,.\files\images\images\heart14-slice005_axial.png,0.9935027777777777,0.9870894383436506,0.9935027777777777,0.9935027777777777
6,.\files\images\images\heart14-slice006_axial.png,0.994775,0.9896043174413689,0.994775,0.994775
7,.\files\images\images\heart14-slice007_axial.png,0.9954027777777777,0.9908476310295724,0.9954027777777777,0.9954027777777777
8,.\files\images\images\heart14-slice008_axial.png,0.9971,0.9942167713630472,0.9971,0.9971
9,.\files\images\images\heart14-slice009_axial.png,0.9978333333333333,0.9956760352569433,0.9978333333333333,0.9978333333333333
10,.\files\images\images\heart14-slice010_axial.png,0.9988361111111111,0.9976749283472847,0.9988361111111111,0.9988361111111111
11,.\files\images\images\heart14-slice011_axial.png,0.9979888888888889,0.9959858506780808,0.9979888888888889,0.9979888888888889
12,.\files\images\images\heart14-slice012_axial.png,0.9981027777777778,0.9962127408278183,0.9981027777777778,0.9981027777777778
13,.\files\images\images\heart14-slice013_axial.png,0.9984805555555556,0.9969657215286772,0.9984805555555556,0.9984805555555556
14,.\files\images\images\heart14-slice014_axial.png,0.9985083333333333,0.9970211101773189,0.9985083333333333,0.9985083333333333
15,.\files\images\images\heart14-slice015_axial.png,0.9987305555555556,0.9974643300033014,0.9987305555555556,0.9987305555555556
16,.\files\images\images\heart14-slice016_axial.png,0.9990222222222223,0.9980463546754285,0.9990222222222223,0.9990222222222223
17,.\files\images\images\heart14-slice017_axial.png,0.998875,0.9977525284055437,0.998875,0.998875
18,.\files\images\images\heart14-slice018_axial.png,0.9976888888888888,0.9953884356154665,0.9976888888888888,0.9976888888888888
19,.\files\images\images\heart14-slice019_axial.png,0.9981416666666667,0.9962902273275497,0.9981416666666667,0.9981416666666667
20,.\files\images\images\heart14-slice020_axial.png,0.9981388888888889,0.9962846923780742,0.9981388888888889,0.9981388888888889
21,.\files\images\images\heart14-slice021_axial.png,0.9976027777777777,0.9952170214181005,0.9976027777777777,0.9976027777777777
22,.\files\images\images\heart14-slice022_axial.png,0.9951333333333333,0.9903138061434352,0.9951333333333333,0.9951333333333333
23,.\files\images\images\heart14-slice023_axial.png,0.9949138888888889,0.9898792530214382,0.9949138888888889,0.9949138888888889
24,.\files\images\images\heart14-slice024_axial.png,0.9951111111111111,0.9902697921273773,0.9951111111111111,0.9951111111111111
25,.\files\images\images\heart14-slice025_axial.png,0.9952638888888888,0.9905724278071909,0.9952638888888888,0.9952638888888888
26,.\files\images\images\heart14-slice026_axial.png,0.9951055555555556,0.990258788927527,0.9951055555555556,0.9951055555555556
27,.\files\images\images\heart14-slice027_axial.png,0.9927666666666667,0.9856372240791608,0.9927666666666667,0.9927666666666667
28,.\files\images\images\heart14-slice028_axial.png,0.9910083333333334,0.9821769258087695,0.9910083333333334,0.9910083333333334
29,.\files\images\images\heart14-slice029_axial.png,0.992375,0.9848654013149734,0.992375,0.992375
30,.\files\images\images\heart14-slice030_axial.png,0.9952055555555556,0.9904568651410184,0.9952055555555556,0.9952055555555556
31,.\files\images\images\heart14-slice031_axial.png,0.9962361111111111,0.992500449696282,0.9962361111111111,0.9962361111111111
32,.\files\images\images\heart14-slice032_axial.png,0.9961166666666667,0.9922633772184682,0.9961166666666667,0.9961166666666667
33,.\files\images\images\heart14-slice033_axial.png,0.9956083333333333,0.9912550714777602,0.9956083333333333,0.9956083333333333
34,.\files\images\images\heart14-slice034_axial.png,0.9961027777777778,0.9922358143125541,0.9961027777777778,0.9961027777777778
35,.\files\images\images\heart14-slice035_axial.png,0.9954722222222222,0.9909852611785527,0.9954722222222222,0.9954722222222222
36,.\files\images\images\heart14-slice036_axial.png,0.9955111111111111,0.9910623423742312,0.9955111111111111,0.9955111111111111
37,.\files\images\images\heart14-slice037_axial.png,0.9962833333333333,0.9925941915879315,0.9962833333333333,0.9962833333333333
38,.\files\images\images\heart14-slice038_axial.png,0.9966583333333333,0.9933389257564306,0.9966583333333333,0.9966583333333333
39,.\files\images\images\heart14-slice039_axial.png,0.9963777777777778,0.9927817018355733,0.9963777777777778,0.9963777777777778
40,.\files\images\images\heart14-slice040_axial.png,0.9959944444444444,0.9920208498182281,0.9959944444444444,0.9959944444444444
41,.\files\images\images\heart14-slice041_axial.png,0.9949194444444445,0.9898902520251279,0.9949194444444445,0.9949194444444445
42,.\files\images\images\heart14-slice042_axial.png,0.9947361111111112,0.9895273490929689,0.9947361111111112,0.9947361111111112
43,.\files\images\images\heart14-slice043_axial.png,0.9949111111111111,0.9898737535651905,0.9949111111111111,0.9949111111111111
44,.\files\images\images\heart14-slice044_axial.png,0.99435,0.9887634863023915,0.99435,0.99435
45,.\files\images\images\heart14-slice045_axial.png,0.9945638888888889,0.9891865608345742,0.9945638888888889,0.9945638888888889
46,.\files\images\images\heart14-slice046_axial.png,0.9825694444444445,0.9657361272268105,0.9825694444444445,0.9825694444444445
47,.\files\images\images\heart14-slice047_axial.png,0.9813166666666666,0.9633186629799905,0.9813166666666666,0.9813166666666666
48,.\files\images\images\heart14-slice048_axial.png,0.9778888888888889,0.9567344276551799,0.9778888888888889,0.9778888888888889
49,.\files\images\images\heart14-slice049_axial.png,0.97815,0.9572344277535841,0.97815,0.97815
50,.\files\images\images\heart14-slice050_axial.png,0.9716138888888889,0.9447948376501476,0.9716138888888889,0.9716138888888889
51,.\files\images\images\heart14-slice051_axial.png,0.9709388888888889,0.9435191733565116,0.9709388888888889,0.9709388888888889
52,.\files\images\images\heart14-slice052_axial.png,0.9712944444444445,0.9441909195482996,0.9712944444444445,0.9712944444444445
53,.\files\images\images\heart14-slice053_axial.png,0.9722027777777777,0.9459091314488645,0.9722027777777777,0.9722027777777777
54,.\files\images\images\heart14-slice054_axial.png,0.9731694444444444,0.9477410261890012,0.9731694444444444,0.9731694444444444
55,.\files\images\images\heart14-slice055_axial.png,0.9715361111111112,0.9446477621695787,0.9715361111111112,0.9715361111111112
56,.\files\images\images\heart14-slice056_axial.png,0.9725972222222222,0.9466562124018223,0.9725972222222222,0.9725972222222222
