,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
0,0.99368817,1.0,1.0,0.6220715,1.6666666e-16,0.5025489,0.715749,0.9803247,4.0866367e-19,9.363296e-19,1.0,1.0
1,0.99756885,1.0,1.0,8.196721e-18,2.03666e-18,1.0,3.717472e-18,0.92810124,6.4102564e-18,1.0881392e-18,6.3211126e-19,1.0
2,0.99856,1.0,1.0,0.71794873,1.0,1.0,0.9300498,0.43835616,1.0,1.4662757e-18,1.0,1.0
3,0.9948922,2.0379051e-19,0.81154346,0.9469082,0.9805494,0.9196371,0.9849541,0.7847871,1.0,6.7340065e-19,1.0,4.273504e-18
4,0.9997828,1.0,1.0,1.0,1.0,1.0,0.9109589,1.0,1.0,1.0,1.0,1.0
5,0.9949579,1.0208248e-19,0.71369696,0.912719,0.9792489,0.92581564,0.97815764,0.89152706,1.0,1.0,1.0,5.7471264e-18
6,0.9956294,1.0,1.0,0.93983155,1.0,1.0,0.9847958,0.48178136,1.0,5.3676867e-19,1.0,1.0
7,0.99703795,1.0,0.4372093,1.0,1.0,0.94532764,0.9794438,1.0,1.0,9.784736e-19,1.0,1.0
8,0.9960717,1.0,0.81963634,0.893965,0.9749899,0.9081135,0.9615728,0.867211,6.6934406e-19,1.0,7.692308e-17,1.0
9,0.9981348,9.285051e-19,0.9197598,0.9540892,0.9834809,0.96612495,0.9890329,0.8413665,9.090909e-17,1.0,1.0,1e-16
10,0.99754786,1.0,0.54175496,0.93365604,0.2877645,0.93228465,0.5431911,0.34435925,1.7568517e-19,8.77193e-19,2.1607605e-19,5.263158e-18
11,0.9996083,1.0,1.0,0.57641923,1.0,1.0,0.92392224,0.7948718,1.0,1.0,1.0,1.0
12,0.9982776,1.0,1.0,1.0,1.0,8.0775443e-19,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9966289,1.0,1.0,1e-15,1.0,1.0,0.9771987,1.0,1.0,4.2625747e-19,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.9988349,1.0,1.0,1.0,1.0,1.0,0.9302326,1.0,1.0,1.2531328e-18,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.99492615,2.2941043e-19,0.8151804,0.95313483,0.9808213,0.9232975,0.97691464,0.76873714,1.0,6.557377e-19,1.0,3.4246576e-18
18,0.99714,1.0,0.9589404,0.86657727,0.98922706,0.9335719,0.9788408,0.9085238,5.8788946e-19,1.0,3.4482758e-17,5e-17
19,0.99721956,4.5913684e-19,0.6635874,0.9517919,0.91545916,0.96279395,0.97414964,0.70109236,9.505703e-19,1.0,1.0,1.1494253e-17
20,0.99537873,1.3342228e-19,0.81391734,0.503815,0.90055406,0.86063355,0.98718476,0.6591928,1.0,2.6716538e-19,1.0,8.547008e-18
21,0.9986492,1.0,1.0,1.0,1.0,1.0,0.9743063,1.0,1.0,1.0582011e-18,1.0,1.0
22,0.99022496,1.0718113e-18,0.88109833,0.66890985,0.80113536,0.95816076,0.9853344,1.2820513e-17,1.0,1.0,1.0,1.2345679e-17
23,0.99569243,7.4443534e-20,0.8735897,0.68897957,0.9531334,0.83546036,0.95369816,0.46301225,1.0,1.0,1.0,9.345794e-18
24,0.99584013,1.0,1.0,0.86233366,1.0,1.0,0.5617326,0.93005806,3.5739814e-19,7.0771407e-19,1.0,1.0
25,0.9993053,1.0,1.0,5.8823527e-17,1.0,1.0,0.42982972,7.692308e-17,7.0871723e-19,1.0,1.0,1.0
26,0.9921702,1.0,0.8436929,0.56835395,0.54006916,0.94528824,0.8974359,0.8625443,1.1102476e-19,6.535948e-19,4.424779e-19,8.3333335e-18
27,0.9912421,1.2405409e-19,0.58836544,0.636465,0.9676721,0.8479267,0.96548986,0.26903552,1.0,1.0,1.0,1.1363636e-17
28,0.9982647,1.0,1.0,1.0,1.0,1.0,0.6835312,1.0,1.0,1.5822785e-18,1.0,1.0
29,0.99966556,1.0,1.0,1.0,1.0,1.0,0.89873415,1.0,1.0,1.0,1.0,1.0
30,0.99649763,1.0,1.0,1.0,1.0,3.3333333e-16,0.9765517,1.0,1.0,4.1118422e-19,1.0,1.0
31,0.99675214,1.0,1.0,0.86743194,2.3430178e-19,4.7619047e-17,0.9291912,0.9654563,2.9895367e-19,2.1635656e-19,1.0,1.0
32,0.9999903,1.0,1.0,1.0,1.0,1.4285715e-16,1.0,1.0,1.0,1.0,1.0,1.0
33,0.99372935,1.0,0.93233085,0.7138512,0.92753625,0.7066421,0.9206553,0.757159,3.0627872e-19,1.0,2.0920503e-19,1.0
34,0.9951646,1.0,0.8417158,1.0,1.0,0.8563011,0.98276246,1.0,1.0,1.0,1.0,1.5748032e-18
35,0.99586666,6.101281e-19,0.78951484,0.9760295,0.9689268,0.94257665,0.96842104,0.7002435,8.833922e-19,1.0,5.3821313e-19,2.6666667e-18
36,0.99406815,1.0,1.0,0.8058648,5.005005e-19,5e-16,0.8149686,0.7837512,1.6082341e-19,3.8895371e-19,1.0,1.0
37,0.9973202,2.2084805e-19,0.8500819,0.91206735,0.984173,0.90406644,0.9665428,0.8128655,1.0,1.0,1.0,1.0
38,0.99715316,1.0,0.8972046,0.875128,0.9690497,0.9720048,0.95765877,0.8404534,1.0,1.0,1.0,1.8181819e-17
39,0.99609655,1.0,1.0,0.68339723,0.898674,0.817634,0.7232704,0.9285673,5.216484e-19,1.4084507e-18,7.9554493e-19,1.2987013e-17
40,0.9978927,1.0,0.8263291,0.93337005,0.9070509,0.9801871,0.9745411,0.8971774,1.0,7.4128985e-19,1.0,1.8181819e-17
41,0.9913938,1.0,1.1111111e-16,0.90288866,0.43382704,0.86326563,0.53012526,0.78558266,1.3751375e-19,2.0981956e-19,3.8925651e-19,1.0869565e-17
42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,0.9963288,3.2916394e-19,0.32083404,0.9286557,0.95791805,0.96046036,0.9851024,0.73557353,2.5471218e-19,1.0,1.0,1.1494253e-17
44,0.9965614,7.654037e-20,0.61448514,0.89219564,0.975732,0.9356921,0.98390806,0.30066445,1.0,1.0,1.0,1.5151515e-18
45,0.9952028,2.772387e-19,0.966119,0.8750317,0.96712995,0.9141978,0.98974836,0.9461179,1.0,1.0,1.0,1.5384615e-17
46,0.99536633,1.0,1.0,1.0,1.0,1.0,0.34164706,1.0,6.7430885e-19,3.193868e-19,1.0,1.0
47,0.9950715,8.0912694e-20,0.86620164,0.8082257,0.97445446,0.7857728,0.98644286,0.64836925,1.0,1.0,1.0,8.403362e-18
48,0.9990975,1.0,1.0,1.0,1.0,0.8996572,1.0,1.0,1.0,1.0,1.0,1.0
49,0.9999903,1.0,1.0,1.0,1.0,1.4285715e-16,1.0,1.0,1.0,1.0,1.0,1.0
50,0.99790066,1.4188422e-19,0.8711531,0.8280316,0.9782438,0.8484236,0.99098086,0.8642384,1.0,1.0,1.0,1.3888889e-17
51,0.9970801,1.6730802e-19,0.87942356,0.90086603,0.98280644,0.876443,0.9718698,0.9205625,1.0,1.0,1.0,5.4945054e-18
52,0.99502873,1.1753643e-19,0.07990166,0.7589577,0.4718474,0.9491331,0.98494625,0.6813187,1.0,1.6155089e-18,1.0,2.5e-17
53,0.9969044,1.0,1.0,0.06599713,1.0,1.0,0.9510363,0.5703125,1.0,6.993007e-19,1.0,1.0
54,0.99289286,7.320644e-19,0.61213577,0.30125523,1.6666666e-16,0.91825455,0.95657647,1.0,1.0,5.988024e-19,1.0,1.0
55,0.9960072,1.0,1.0,0.7797716,8.695652e-18,1.0,0.94783306,0.7085773,6.666667e-17,6.6445185e-19,1.0,1.0
56,0.99432075,1.0,0.910386,0.86141235,0.94977266,0.8701602,0.97979796,0.8309051,2.2686025e-19,1e-15,2.0370748e-19,4.5454544e-17
