,Image,F1,Jaccard,Recall,Precision
0,.\files\images\images\heart16-slice329_axial.png,0.9819388888888889,0.964518611085342,0.9819388888888889,0.9819388888888889
1,.\files\images\images\heart11-slice401_axial.png,0.9915222222222222,0.9831869814792371,0.9915222222222222,0.9915222222222222
2,.\files\images\images\heart20-slice406_axial.png,0.9971333333333333,0.9942830552416406,0.9971333333333333,0.9971333333333333
3,.\files\images\images\heart25-slice223_axial.png,0.9705083333333333,0.9427063518403095,0.9705083333333333,0.9705083333333333
4,.\files\images\images\heart19-slice472_axial.png,0.9995666666666667,0.9991337087262187,0.9995666666666667,0.9995666666666667
5,.\files\images\images\heart23-slice173_axial.png,0.9621944444444445,0.9271432777495249,0.9621944444444445,0.9621944444444445
6,.\files\images\images\heart18-slice404_axial.png,0.9915638888888889,0.9832689230023386,0.9915638888888889,0.9915638888888889
7,.\files\images\images\heart2-slice099_axial.png,0.9939333333333333,0.9879398316877609,0.9939333333333333,0.9939333333333333
8,.\files\images\images\heart26-slice313_axial.png,0.9864527777777777,0.973267703911181,0.9864527777777777,0.9864527777777777
9,.\files\images\images\heart26-slice256_axial.png,0.9905583333333333,0.9812932891945217,0.9905583333333333,0.9905583333333333
10,.\files\images\images\heart14-slice222_axial.png,0.9637972222222222,0.9301241445126839,0.9637972222222222,0.9637972222222222
11,.\files\images\images\heart5-slice491_axial.png,0.9992027777777778,0.9984068256695356,0.9992027777777778,0.9992027777777778
12,.\files\images\images\heart21-slice017_axial.png,0.9965611111111111,0.9931457930782476,0.9965611111111111,0.9965611111111111
13,.\files\images\images\heart25-slice056_axial.png,0.9933055555555556,0.9867001462432052,0.9933055555555556,0.9933055555555556
14,.\files\images\images\heart26-slice065_axial.png,1.0,1.0,1.0,1.0
15,.\files\images\images\heart20-slice448_axial.png,0.9974861111111111,0.9949848298028567,0.9974861111111111,0.9974861111111111
16,.\files\images\images\heart5-slice022_axial.png,1.0,1.0,1.0,1.0
17,.\files\images\images\heart25-slice225_axial.png,0.9716944444444444,0.9449471892811799,0.9716944444444444,0.9716944444444444
18,.\files\images\images\heart26-slice305_axial.png,0.9885527777777777,0.9773646672397363,0.9885527777777777,0.9885527777777777
19,.\files\images\images\heart3-slice234_axial.png,0.9852277777777778,0.9708856393607761,0.9852277777777778,0.9852277777777778
20,.\files\images\images\heart24-slice197_axial.png,0.9543277777777778,0.9126452414980263,0.9543277777777778,0.9543277777777778
21,.\files\images\images\heart27-slice090_axial.png,0.9973055555555556,0.9946255921544727,0.9973055555555556,0.9973055555555556
22,.\files\images\images\heart21-slice080_axial.png,0.9768777777777777,0.954800664632226,0.9768777777777777,0.9768777777777777
23,.\files\images\images\heart15-slice164_axial.png,0.9534944444444444,0.9111222003386933,0.9534944444444444,0.9534944444444444
24,.\files\images\images\heart22-slice363_axial.png,0.9839777777777777,0.968460882307911,0.9839777777777777,0.9839777777777777
25,.\files\images\images\heart22-slice462_axial.png,0.9959583333333333,0.991949205295265,0.9959583333333333,0.9959583333333333
26,.\files\images\images\heart32-slice299_axial.png,0.9545944444444444,0.9131331274943801,0.9545944444444444,0.9545944444444444
27,.\files\images\images\heart10-slice170_axial.png,0.9562444444444445,0.9161574655623922,0.9562444444444445,0.9562444444444445
28,.\files\images\images\heart4-slice469_axial.png,0.9965416666666667,0.9931071710335091,0.9965416666666667,0.9965416666666667
29,.\files\images\images\heart6-slice416_axial.png,0.9993333333333333,0.9986675549633578,0.9993333333333333,0.9993333333333333
30,.\files\images\images\heart25-slice075_axial.png,0.9930472222222222,0.9861904591134418,0.9930472222222222,0.9930472222222222
31,.\files\images\images\heart5-slice307_axial.png,0.9729611111111112,0.9473459297765421,0.9729611111111112,0.9729611111111112
32,.\files\images\images\heart33-slice074_axial.png,0.9999805555555555,0.9999611118672692,0.9999805555555555,0.9999805555555555
33,.\files\images\images\heart12-slice281_axial.png,0.9647138888888889,0.9318331218154938,0.9647138888888889,0.9647138888888889
34,.\files\images\images\heart13-slice080_axial.png,0.9855972222222222,0.9716034338759807,0.9855972222222222,0.9855972222222222
35,.\files\images\images\heart31-slice268_axial.png,0.9793111111111111,0.9594609305262242,0.9793111111111111,0.9793111111111111
36,.\files\images\images\heart25-slice353_axial.png,0.9714722222222222,0.944526966808005,0.9714722222222222,0.9714722222222222
37,.\files\images\images\heart8-slice169_axial.png,0.9809222222222223,0.9625587404734128,0.9809222222222223,0.9809222222222223
38,.\files\images\images\heart6-slice118_axial.png,0.9920055555555556,0.9841379196313913,0.9920055555555556,0.9920055555555556
39,.\files\images\images\heart27-slice310_axial.png,0.9818972222222222,0.9644382115972793,0.9818972222222222,0.9818972222222222
40,.\files\images\images\heart9-slice188_axial.png,0.9913555555555555,0.9828592830862103,0.9913555555555555,0.9913555555555555
41,.\files\images\images\heart24-slice280_axial.png,0.9534138888888889,0.9109751015869055,0.9534138888888889,0.9534138888888889
42,.\files\images\images\heart7-slice003_axial.png,1.0,1.0,1.0,1.0
43,.\files\images\images\heart6-slice213_axial.png,0.9728555555555556,0.9471458087686466,0.9728555555555556,0.9728555555555556
44,.\files\images\images\heart13-slice230_axial.png,0.95515,0.9141503565105039,0.95515,0.95515
45,.\files\images\images\heart30-slice253_axial.png,0.9785472222222222,0.9579955564378622,0.9785472222222222,0.9785472222222222
46,.\files\images\images\heart0-slice489_axial.png,0.9870583333333334,0.974447360410685,0.9870583333333334,0.9870583333333334
47,.\files\images\images\heart15-slice201_axial.png,0.9540611111111111,0.9121576042789838,0.9540611111111111,0.9540611111111111
48,.\files\images\images\heart3-slice104_axial.png,0.9982111111111112,0.9964286110402503,0.9982111111111112,0.9982111111111112
49,.\files\images\images\heart15-slice029_axial.png,0.9999805555555555,0.9999611118672692,0.9999805555555555,0.9999805555555555
50,.\files\images\images\heart1-slice111_axial.png,0.9751472222222223,0.9514998089156437,0.9751472222222223,0.9751472222222223
51,.\files\images\images\heart1-slice136_axial.png,0.9772194444444444,0.9554536788330287,0.9772194444444444,0.9772194444444444
52,.\files\images\images\heart29-slice143_axial.png,0.9649722222222222,0.9323152894447277,0.9649722222222222,0.9649722222222222
53,.\files\images\images\heart29-slice404_axial.png,0.9931,0.986294567484358,0.9931,0.9931
54,.\files\images\images\heart17-slice088_axial.png,0.9818888888888889,0.9644221324893594,0.9818888888888889,0.9818888888888889
55,.\files\images\images\heart12-slice369_axial.png,0.9908083333333333,0.9817841011370486,0.9908083333333333,0.9908083333333333
56,.\files\images\images\heart28-slice273_axial.png,0.9618555555555556,0.9265141866364133,0.9618555555555556,0.9618555555555556
57,.\files\images\images\heart32-slice262_axial.png,0.9433666666666667,0.8928041894066059,0.9433666666666667,0.9433666666666667
58,.\files\images\images\heart20-slice422_axial.png,0.9979555555555556,0.9959194535616074,0.9979555555555556,0.9979555555555556
59,.\files\images\images\heart17-slice078_axial.png,0.9877666666666667,0.9758290249283762,0.9877666666666667,0.9877666666666667
60,.\files\images\images\heart33-slice447_axial.png,0.9972416666666667,0.994498508281324,0.9972416666666667,0.9972416666666667
61,.\files\images\images\heart18-slice481_axial.png,1.0,1.0,1.0,1.0
62,.\files\images\images\heart24-slice007_axial.png,0.9998083333333333,0.9996167401248094,0.9998083333333333,0.9998083333333333
63,.\files\images\images\heart5-slice013_axial.png,0.9997055555555555,0.9994112844551326,0.9997055555555555,0.9997055555555555
64,.\files\images\images\heart14-slice019_axial.png,1.0,1.0,1.0,1.0
65,.\files\images\images\heart20-slice485_axial.png,0.999975,0.9999500012499688,0.999975,0.999975
66,.\files\images\images\heart20-slice466_axial.png,1.0,1.0,1.0,1.0
67,.\files\images\images\heart22-slice049_axial.png,0.9977333333333334,0.9954769189836371,0.9977333333333334,0.9977333333333334
68,.\files\images\images\heart4-slice476_axial.png,0.9977166666666667,0.9954437368009711,0.9977166666666667,0.9977166666666667
69,.\files\images\images\heart23-slice368_axial.png,0.9903527777777777,0.9808899147942213,0.9903527777777777,0.9903527777777777
70,.\files\images\images\heart11-slice224_axial.png,0.9116694444444444,0.837676972120909,0.9116694444444444,0.9116694444444444
71,.\files\images\images\heart8-slice077_axial.png,0.9953,0.9906439733253708,0.9953,0.9953
72,.\files\images\images\heart20-slice217_axial.png,0.9783305555555556,0.9575803219675857,0.9783305555555556,0.9783305555555556
73,.\files\images\images\heart13-slice268_axial.png,0.9575027777777778,0.9184703396491863,0.9575027777777778,0.9575027777777778
74,.\files\images\images\heart15-slice156_axial.png,0.9504777777777778,0.9056290163778227,0.9504777777777778,0.9504777777777778
75,.\files\images\images\heart9-slice258_axial.png,0.9636027777777778,0.9297620228194359,0.9636027777777778,0.9636027777777778
76,.\files\images\images\heart19-slice347_axial.png,0.9873944444444445,0.9751027327740867,0.9873944444444445,0.9873944444444445
77,.\files\images\images\heart30-slice141_axial.png,0.985925,0.972240711978897,0.985925,0.985925
78,.\files\images\images\heart19-slice247_axial.png,0.9855055555555555,0.9714252857197619,0.9855055555555555,0.9855055555555555
79,.\files\images\images\heart20-slice228_axial.png,0.9815111111111111,0.9636934892651423,0.9815111111111111,0.9815111111111111
80,.\files\images\images\heart11-slice409_axial.png,0.9931305555555555,0.9863548457402345,0.9931305555555555,0.9931305555555555
81,.\files\images\images\heart1-slice502_axial.png,1.0,1.0,1.0,1.0
82,.\files\images\images\heart9-slice474_axial.png,0.9966972222222222,0.9934161893080907,0.9966972222222222,0.9966972222222222
83,.\files\images\images\heart12-slice245_axial.png,0.9744638888888889,0.9501994891560782,0.9744638888888889,0.9744638888888889
84,.\files\images\images\heart1-slice201_axial.png,0.9832361111111111,0.9670250112694141,0.9832361111111111,0.9832361111111111
85,.\files\images\images\heart23-slice297_axial.png,0.9432666666666667,0.8926250709734401,0.9432666666666667,0.9432666666666667
86,.\files\images\images\heart26-slice301_axial.png,0.98885,0.977945903179548,0.98885,0.98885
87,.\files\images\images\heart20-slice222_axial.png,0.9804083333333333,0.9615695825943392,0.9804083333333333,0.9804083333333333
88,.\files\images\images\heart22-slice207_axial.png,0.9660222222222222,0.9342775473360699,0.9660222222222222,0.9660222222222222
89,.\files\images\images\heart18-slice149_axial.png,0.9557638888888889,0.9152756533883089,0.9557638888888889,0.9557638888888889
90,.\files\images\images\heart4-slice019_axial.png,0.9999333333333333,0.999866675554963,0.9999333333333333,0.9999333333333333
91,.\files\images\images\heart16-slice082_axial.png,0.9852638888888889,0.9709557766797607,0.9852638888888889,0.9852638888888889
92,.\files\images\images\heart24-slice119_axial.png,0.9933861111111111,0.9868591344468943,0.9933861111111111,0.9933861111111111
93,.\files\images\images\heart4-slice216_axial.png,0.964675,0.9317605582788013,0.964675,0.964675
94,.\files\images\images\heart18-slice030_axial.png,1.0,1.0,1.0,1.0
