,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
0,0.9922237,1.0,1.0,0.14939159,4.8875853e-19,3.068426e-19,0.5665738,0.5291565,2.7233115e-19,0.66494846,1.0,1.0
1,0.99773484,1.0,1.0,4.6082947e-18,3.8910506e-18,1.0,2.8248588e-19,0.3706364,6.65336e-19,0.0074074073,6.3211126e-19,1.0
2,0.99824476,1.0,1.0,0.5730337,1.0,1.0,0.7640659,0.036253776,1.0,0.023121387,1.0,1.0
3,0.99150354,0.5582157,0.6247731,0.82681483,0.853808,0.91804695,0.96756965,0.7687905,1.0,0.15123095,1.4285715e-16,4.1666667e-18
4,0.99873173,1.0,1.0,1.0,1.0,1.0,1.0964912e-18,1.0,1.0,1.0,1.0,1.0
5,0.9886605,0.92322624,0.8501715,0.92767763,0.9398137,0.91089183,0.9554811,0.756254,1.0,1.6666666e-16,1.0,5.7471264e-18
6,0.99595976,1.0,1.8450185e-18,0.37311286,1.7574693e-18,4.048583e-18,0.6085524,0.1440344,9.425071e-19,0.7446524,5.4945054e-18,1.0
7,0.98869056,1.0,2.9325513e-18,1.0,5e-16,0.57998645,0.8553459,1.0,1.0,8.3892616e-19,1.0,1.0
8,0.991121,4.0160644e-18,0.14589317,0.6005724,0.89349705,0.53915703,0.4537969,0.6568131,0.35220778,4.3290042e-18,0.022857143,1.0
9,0.9905588,0.42,0.69642425,0.80156106,0.9014808,0.7823765,0.8277457,0.5757425,9.090909e-17,6.25e-17,1.4705882e-17,1e-16
10,0.98829925,1.0,0.099802375,0.7552661,0.16721964,0.29921678,0.80986714,0.08320951,0.74084693,0.6971895,0.009462366,5.263158e-18
11,0.99879104,1.0,1.0,0.09392265,1.0,1.0,0.44923076,0.42105263,1.0,1.0,1.0,1.0
12,0.9926152,1.0,1.0,1.0,1.0,0.0036563072,3.952569e-19,1.0,4.347826e-17,1.0,1.0,1.0
13,0.99035615,1.0,1.0,1.0,5.4945054e-18,2.8918451e-19,0.70372117,1.0,1.0,4.2625747e-19,1.0,4.032258e-18
14,0.99997085,1.0,1.0,1.0,1.0,1.0,4.7619047e-17,1.0,1.0,1.0,1.0,1.0
15,0.998015,1.0,1.0,1.0,1.0,1.0,0.5024814,1.0,1.0,0.3853755,1.0,1.0
16,0.9984504,1.0,1.0,1.0,1.0,2.183406e-18,1.5243903e-18,1.0,1.0,1.0,1.0,1.0
17,0.99259686,0.5666739,0.6158488,0.82212484,0.85005945,0.9285334,0.92829,0.7960772,1.0,0.21606949,1e-16,2.8901734e-18
