,Image,F1,Jaccard,Recall,Precision
0,.\files\images\images\heart16-slice329_axial.png,0.9441027777777777,0.8941237441564968,0.9441027777777777,0.9441027777777777
1,.\files\images\images\heart11-slice401_axial.png,0.9799777777777777,0.9607415960436592,0.9799777777777777,0.9799777777777777
2,.\files\images\images\heart20-slice406_axial.png,0.9957138888888889,0.9914643624686413,0.9957138888888889,0.9957138888888889
3,.\files\images\images\heart25-slice223_axial.png,0.9548555555555556,0.9136110904393864,0.9548555555555556,0.9548555555555556
4,.\files\images\images\heart19-slice472_axial.png,0.9974666666666666,0.9949461364543157,0.9974666666666666,0.9974666666666666
5,.\files\images\images\heart23-slice173_axial.png,0.9711222222222222,0.943865484508472,0.9711222222222222,0.9711222222222222
6,.\files\images\images\heart18-slice404_axial.png,0.9777694444444445,0.9565057893549781,0.9777694444444445,0.9777694444444445
7,.\files\images\images\heart2-slice099_axial.png,0.9779222222222222,0.9567982432300216,0.9779222222222222,0.9779222222222222
8,.\files\images\images\heart26-slice313_axial.png,0.9627833333333333,0.9282374303022513,0.9627833333333333,0.9627833333333333
9,.\files\images\images\heart26-slice256_axial.png,0.963825,0.9301758872777282,0.963825,0.963825
10,.\files\images\images\heart14-slice222_axial.png,0.9518,0.9080328181644725,0.9518,0.9518
11,.\files\images\images\heart5-slice491_axial.png,0.99705,0.9941173538062715,0.99705,0.99705
12,.\files\images\images\heart21-slice017_axial.png,0.9853388888888889,0.9711014624477795,0.9853388888888889,0.9853388888888889
13,.\files\images\images\heart25-slice056_axial.png,0.9809361111111111,0.9625854883158018,0.9809361111111111,0.9809361111111111
14,.\files\images\images\heart26-slice065_axial.png,0.9999416666666666,0.9998833401384919,0.9999416666666666,0.9999416666666666
15,.\files\images\images\heart20-slice448_axial.png,0.9960444444444444,0.9921200584355218,0.9960444444444444,0.9960444444444444
16,.\files\images\images\heart5-slice022_axial.png,0.9969055555555556,0.9938302032045282,0.9969055555555556,0.9969055555555556
17,.\files\images\images\heart25-slice225_axial.png,0.9568333333333333,0.9172391755871545,0.9568333333333333,0.9568333333333333
18,.\files\images\images\heart26-slice305_axial.png,0.9607777777777777,0.9245161980113332,0.9607777777777777,0.9607777777777777
19,.\files\images\images\heart3-slice234_axial.png,0.9783444444444445,0.957606934278785,0.9783444444444445,0.9783444444444445
20,.\files\images\images\heart24-slice197_axial.png,0.9474555555555556,0.9001572907979605,0.9474555555555556,0.9474555555555556
21,.\files\images\images\heart27-slice090_axial.png,0.9955194444444444,0.9910788605498143,0.9955194444444444,0.9955194444444444
22,.\files\images\images\heart21-slice080_axial.png,0.8911277777777777,0.8036343231611698,0.8911277777777777,0.8911277777777777
23,.\files\images\images\heart15-slice164_axial.png,0.9385861111111111,0.8842790931383453,0.9385861111111111,0.9385861111111111
24,.\files\images\images\heart22-slice363_axial.png,0.9814722222222222,0.9636185125589768,0.9814722222222222,0.9814722222222222
25,.\files\images\images\heart22-slice462_axial.png,0.9956472222222222,0.9913321735667249,0.9956472222222222,0.9956472222222222
26,.\files\images\images\heart32-slice299_axial.png,0.9083722222222222,0.8321263352892978,0.9083722222222222,0.9083722222222222
27,.\files\images\images\heart10-slice170_axial.png,0.9573666666666667,0.9182198919402794,0.9573666666666667,0.9573666666666667
28,.\files\images\images\heart4-slice469_axial.png,0.9948111111111111,0.9896757933832226,0.9948111111111111,0.9948111111111111
29,.\files\images\images\heart6-slice416_axial.png,0.9937222222222222,0.9875227736984487,0.9937222222222222,0.9937222222222222
30,.\files\images\images\heart25-slice075_axial.png,0.9842694444444444,0.9690261251480188,0.9842694444444444,0.9842694444444444
31,.\files\images\images\heart5-slice307_axial.png,0.9253555555555556,0.8610806675075994,0.9253555555555556,0.9253555555555556
32,.\files\images\images\heart33-slice074_axial.png,1.0,1.0,1.0,1.0
33,.\files\images\images\heart12-slice281_axial.png,0.9568833333333333,0.9173310751434004,0.9568833333333333,0.9568833333333333
34,.\files\images\images\heart13-slice080_axial.png,0.9366555555555556,0.8808580892571656,0.9366555555555556,0.9366555555555556
35,.\files\images\images\heart31-slice268_axial.png,0.9457555555555556,0.897093231592926,0.9457555555555556,0.9457555555555556
36,.\files\images\images\heart25-slice353_axial.png,0.9550972222222223,0.9140536732550876,0.9550972222222223,0.9550972222222223
37,.\files\images\images\heart8-slice169_axial.png,0.9765722222222222,0.9542170375155388,0.9765722222222222,0.9765722222222222
38,.\files\images\images\heart6-slice118_axial.png,0.9574666666666667,0.918403887965213,0.9574666666666667,0.9574666666666667
39,.\files\images\images\heart27-slice310_axial.png,0.9657388888888889,0.9337476566738466,0.9657388888888889,0.9657388888888889
40,.\files\images\images\heart9-slice188_axial.png,0.9623194444444444,0.9273754232864427,0.9623194444444444,0.9623194444444444
41,.\files\images\images\heart24-slice280_axial.png,0.950125,0.9049886891296582,0.950125,0.950125
42,.\files\images\images\heart7-slice003_axial.png,0.9904388888888889,0.9810588759692055,0.9904388888888889,0.9904388888888889
43,.\files\images\images\heart6-slice213_axial.png,0.9501888888888889,0.9051046219954912,0.9501888888888889,0.9501888888888889
44,.\files\images\images\heart13-slice230_axial.png,0.8918777777777778,0.8048550601117005,0.8918777777777778,0.8918777777777778
45,.\files\images\images\heart30-slice253_axial.png,0.9381222222222222,0.8834559323630048,0.9381222222222222,0.9381222222222222
46,.\files\images\images\heart0-slice489_axial.png,0.9884027777777777,0.9770714628955859,0.9884027777777777,0.9884027777777777
47,.\files\images\images\heart15-slice201_axial.png,0.9423638888888889,0.8910095627303026,0.9423638888888889,0.9423638888888889
48,.\files\images\images\heart3-slice104_axial.png,0.9888972222222222,0.9780382805352792,0.9888972222222222,0.9888972222222222
49,.\files\images\images\heart15-slice029_axial.png,0.997825,0.9956594407164417,0.997825,0.997825
50,.\files\images\images\heart1-slice111_axial.png,0.9705861111111111,0.9428531337951207,0.9705861111111111,0.9705861111111111
51,.\files\images\images\heart1-slice136_axial.png,0.9666777777777777,0.9355046828460521,0.9666777777777777,0.9666777777777777
52,.\files\images\images\heart29-slice143_axial.png,0.9573222222222222,0.9181381272578084,0.9573222222222222,0.9573222222222222
53,.\files\images\images\heart29-slice404_axial.png,0.9902333333333333,0.9806555970026078,0.9902333333333333,0.9902333333333333
54,.\files\images\images\heart17-slice088_axial.png,0.9413722222222223,0.8892381647100807,0.9413722222222223,0.9413722222222223
55,.\files\images\images\heart12-slice369_axial.png,0.9735222222222222,0.9484104218308563,0.9735222222222222,0.9735222222222222
56,.\files\images\images\heart28-slice273_axial.png,0.9420694444444444,0.8904832547820036,0.9420694444444444,0.9420694444444444
57,.\files\images\images\heart32-slice262_axial.png,0.89005,0.8018829677012478,0.89005,0.89005
58,.\files\images\images\heart20-slice422_axial.png,0.9971194444444444,0.9942554364234136,0.9971194444444444,0.9971194444444444
59,.\files\images\images\heart17-slice078_axial.png,0.9532305555555556,0.9106404095139278,0.9532305555555556,0.9532305555555556
60,.\files\images\images\heart33-slice447_axial.png,0.9960694444444445,0.992169666449926,0.9960694444444445,0.9960694444444445
61,.\files\images\images\heart18-slice481_axial.png,0.999725,0.9994501512084177,0.999725,0.999725
62,.\files\images\images\heart24-slice007_axial.png,0.9917583333333333,0.983651406326195,0.9917583333333333,0.9917583333333333
63,.\files\images\images\heart5-slice013_axial.png,0.9960277777777777,0.9920869877984672,0.9960277777777777,0.9960277777777777
64,.\files\images\images\heart14-slice019_axial.png,0.9948388888888889,0.9897307783716265,0.9948388888888889,0.9948388888888889
65,.\files\images\images\heart20-slice485_axial.png,1.0,1.0,1.0,1.0
66,.\files\images\images\heart20-slice466_axial.png,0.9991583333333334,0.998318082280747,0.9991583333333334,0.9991583333333334
67,.\files\images\images\heart22-slice049_axial.png,0.9930944444444444,0.9862836081945233,0.9930944444444444,0.9930944444444444
68,.\files\images\images\heart4-slice476_axial.png,0.9971416666666667,0.9942996268997781,0.9971416666666667,0.9971416666666667
69,.\files\images\images\heart23-slice368_axial.png,0.9840805555555555,0.9686600260847453,0.9840805555555555,0.9840805555555555
70,.\files\images\images\heart11-slice224_axial.png,0.8391444444444445,0.7228672339366559,0.8391444444444445,0.8391444444444445
71,.\files\images\images\heart8-slice077_axial.png,0.9562277777777778,0.916126868889019,0.9562277777777778,0.9562277777777778
72,.\files\images\images\heart20-slice217_axial.png,0.9708388888888889,0.9433303283688441,0.9708388888888889,0.9708388888888889
73,.\files\images\images\heart13-slice268_axial.png,0.9078166666666667,0.8311943965451466,0.9078166666666667,0.9078166666666667
74,.\files\images\images\heart15-slice156_axial.png,0.9392444444444444,0.885448527255206,0.9392444444444444,0.9392444444444444
75,.\files\images\images\heart9-slice258_axial.png,0.9499583333333333,0.9046863219713503,0.9499583333333333,0.9499583333333333
76,.\files\images\images\heart19-slice347_axial.png,0.9869972222222222,0.9743282485240525,0.9869972222222222,0.9869972222222222
77,.\files\images\images\heart30-slice141_axial.png,0.9606972222222222,0.9243670302473079,0.9606972222222222,0.9606972222222222
78,.\files\images\images\heart19-slice247_axial.png,0.9638194444444445,0.9301655385027813,0.9638194444444445,0.9638194444444445
79,.\files\images\images\heart20-slice228_axial.png,0.9730083333333334,0.9474354709142399,0.9730083333333334,0.9730083333333334
80,.\files\images\images\heart11-slice409_axial.png,0.9828861111111111,0.9663481364754848,0.9828861111111111,0.9828861111111111
81,.\files\images\images\heart1-slice502_axial.png,1.0,1.0,1.0,1.0
82,.\files\images\images\heart9-slice474_axial.png,0.9919388888888889,0.9840067015337474,0.9919388888888889,0.9919388888888889
83,.\files\images\images\heart12-slice245_axial.png,0.9621972222222223,0.9271484359316826,0.9621972222222223,0.9621972222222223
84,.\files\images\images\heart1-slice201_axial.png,0.9623222222222222,0.9273805827113962,0.9623222222222222,0.9623222222222222
85,.\files\images\images\heart23-slice297_axial.png,0.9157638888888889,0.8446166655991801,0.9157638888888889,0.9157638888888889
86,.\files\images\images\heart26-slice301_axial.png,0.9616194444444445,0.9260761281589655,0.9616194444444445,0.9616194444444445
87,.\files\images\images\heart20-slice222_axial.png,0.9696194444444445,0.9410304175641686,0.9696194444444445,0.9696194444444445
88,.\files\images\images\heart22-slice207_axial.png,0.9249944444444445,0.8604555015219559,0.9249944444444445,0.9249944444444445
89,.\files\images\images\heart18-slice149_axial.png,0.9287111111111112,0.8669100564221706,0.9287111111111112,0.9287111111111112
90,.\files\images\images\heart4-slice019_axial.png,1.0,1.0,1.0,1.0
91,.\files\images\images\heart16-slice082_axial.png,0.9111083333333333,0.8367300083418154,0.9111083333333333,0.9111083333333333
92,.\files\images\images\heart24-slice119_axial.png,0.9518,0.9080328181644725,0.9518,0.9518
93,.\files\images\images\heart4-slice216_axial.png,0.9721583333333333,0.9458249892574245,0.9721583333333333,0.9721583333333333
94,.\files\images\images\heart18-slice030_axial.png,0.9994555555555555,0.9989117036280247,0.9994555555555555,0.9994555555555555
95,.\files\images\images\heart8-slice316_axial.png,0.9674361111111112,0.9369261520002797,0.9674361111111112,0.9674361111111112
96,.\files\images\images\heart33-slice419_axial.png,0.994275,0.9886151781053469,0.994275,0.994275
97,.\files\images\images\heart22-slice432_axial.png,0.9906027777777778,0.9813805268821051,0.9906027777777778,0.9906027777777778
98,.\files\images\images\heart23-slice021_axial.png,0.9971222222222222,0.9942609601258601,0.9971222222222222,0.9971222222222222
99,.\files\images\images\heart30-slice168_axial.png,0.9412583333333333,0.8890349392753977,0.9412583333333333,0.9412583333333333
100,.\files\images\images\heart15-slice511_axial.png,0.999775,0.9995501012272239,0.999775,0.999775
101,.\files\images\images\heart1-slice029_axial.png,0.9792388888888889,0.9593222921893794,0.9792388888888889,0.9792388888888889
102,.\files\images\images\heart20-slice157_axial.png,0.9690444444444445,0.9399478369581618,0.9690444444444445,0.9690444444444445
103,.\files\images\images\heart2-slice232_axial.png,0.9741361111111111,0.9495763733005516,0.9741361111111111,0.9741361111111111
104,.\files\images\images\heart7-slice288_axial.png,0.9788333333333333,0.9585441488493553,0.9788333333333333,0.9788333333333333
105,.\files\images\images\heart20-slice328_axial.png,0.9732361111111111,0.9478674909031882,0.9732361111111111,0.9732361111111111
106,.\files\images\images\heart17-slice202_axial.png,0.9361583333333333,0.8799790069010897,0.9361583333333333,0.9361583333333333
107,.\files\images\images\heart1-slice207_axial.png,0.9578722222222222,0.919150456064782,0.9578722222222222,0.9578722222222222
108,.\files\images\images\heart18-slice016_axial.png,0.9989722222222223,0.9979465549296557,0.9989722222222223,0.9989722222222223
109,.\files\images\images\heart22-slice110_axial.png,0.9028527777777777,0.8229094140612143,0.9028527777777777,0.9028527777777777
110,.\files\images\images\heart15-slice225_axial.png,0.9479277777777778,0.9010101756850237,0.9479277777777778,0.9479277777777778
111,.\files\images\images\heart14-slice264_axial.png,0.9815888888888888,0.9638434598557666,0.9815888888888888,0.9815888888888888
112,.\files\images\images\heart19-slice053_axial.png,0.9983055555555556,0.9966168436815396,0.9983055555555556,0.9983055555555556
113,.\files\images\images\heart20-slice097_axial.png,0.9865583333333333,0.9734732306579066,0.9865583333333333,0.9865583333333333
114,.\files\images\images\heart27-slice459_axial.png,0.9981166666666667,0.9962404138871791,0.9981166666666667,0.9981166666666667
115,.\files\images\images\heart15-slice208_axial.png,0.9426916666666667,0.8915957975046699,0.9426916666666667,0.9426916666666667
116,.\files\images\images\heart3-slice406_axial.png,0.9958611111111111,0.9917563418075189,0.9958611111111111,0.9958611111111111
117,.\files\images\images\heart19-slice427_axial.png,0.9919694444444445,0.9840668410073549,0.9919694444444445,0.9919694444444445
118,.\files\images\images\heart15-slice193_axial.png,0.9455305555555555,0.8966884346788406,0.9455305555555555,0.9455305555555555
119,.\files\images\images\heart13-slice436_axial.png,0.9693,0.9404288347724847,0.9693,0.9693
120,.\files\images\images\heart18-slice337_axial.png,0.9380666666666667,0.883357398455647,0.9380666666666667,0.9380666666666667
121,.\files\images\images\heart30-slice352_axial.png,0.9679083333333334,0.9378123713171472,0.9679083333333334,0.9679083333333334
122,.\files\images\images\heart21-slice371_axial.png,0.950425,0.9055331920062882,0.950425,0.950425
123,.\files\images\images\heart21-slice243_axial.png,0.9108361111111111,0.8362709417774593,0.9108361111111111,0.9108361111111111
124,.\files\images\images\heart23-slice212_axial.png,0.9377277777777778,0.8827565648060499,0.9377277777777778,0.9377277777777778
125,.\files\images\images\heart15-slice496_axial.png,0.9972166666666666,0.9944487842172619,0.9972166666666666,0.9972166666666666
126,.\files\images\images\heart25-slice074_axial.png,0.9816388888888888,0.9639398816180682,0.9816388888888888,0.9816388888888888
127,.\files\images\images\heart11-slice314_axial.png,0.8963666666666666,0.8121960796158144,0.8963666666666666,0.8963666666666666
128,.\files\images\images\heart19-slice367_axial.png,0.9869416666666667,0.9742199774609885,0.9869416666666667,0.9869416666666667
129,.\files\images\images\heart20-slice426_axial.png,0.9971555555555556,0.9943272469420316,0.9971555555555556,0.9971555555555556
130,.\files\images\images\heart25-slice228_axial.png,0.9580472222222223,0.9194727848084393,0.9580472222222223,0.9580472222222223
131,.\files\images\images\heart5-slice335_axial.png,0.9396,0.8860807242549981,0.9396,0.9396
132,.\files\images\images\heart9-slice100_axial.png,1.0,1.0,1.0,1.0
133,.\files\images\images\heart9-slice048_axial.png,1.0,1.0,1.0,1.0
134,.\files\images\images\heart33-slice145_axial.png,0.984075,0.9686492605261215,0.984075,0.984075
135,.\files\images\images\heart10-slice079_axial.png,0.9886472222222222,0.9775493220027082,0.9886472222222222,0.9886472222222222
136,.\files\images\images\heart25-slice062_axial.png,0.9843083333333333,0.9691015153877078,0.9843083333333333,0.9843083333333333
