,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
0,0.9991774,1.0,1.0,1.0,0.9998584,0.9993192,1.0,1.0,1.0,1.0,1.0,1.0
1,0.97916675,0.9996255,0.74272877,0.83064014,0.5581028,0.8236741,0.8263777,0.00784506,0.68616533,1.1890607e-18,1.0,1.3888889e-17
2,0.99426913,1.0,0.9999837,0.79774475,0.99991864,0.9977161,4.464286e-18,0.6797736,1.0,1.0,1.0,1.0
3,0.99992836,1.0,1.0,1.0,1.0,1.0,1.0,0.99992836,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.993354,0.952031,0.35166994,0.56267726,0.9947726,0.9326085,1.0,0.711812,1.0,1.0,8.312552e-19,1.1363636e-17
6,0.98522115,1.0,0.9999902,0.77077365,0.81639856,0.21299343,0.8623019,0.6495538,0.9995571,6.993007e-19,1.0,2.5e-17
7,0.9925045,1.0,1.0,1.0,0.9997135,0.99279517,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9957869,1.0,0.99990886,0.99992025,0.9967276,0.99951965,1.20481925e-17,0.64285713,1.0,1.0,1.0,1.0
9,0.9955614,1.0,1.0,1.0,1.0,0.9955614,1.0,1.0,1.0,1.0,1.0,1.0
10,0.99968904,1.0,1.0,0.99972814,1.0,1.0,1.0,0.99996096,1.0,1.0,1.0,1.0
11,0.99006385,1.0,1.0,0.6032429,1.0,1.0,1.0,0.56666666,1.0,1.0,1.0,1.0
12,0.99350625,1.0,1.0,1.0,1.0,0.99350625,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9894702,0.814433,0.7129872,0.7806311,0.1414305,0.8459368,0.25701553,0.48598975,4.64684e-19,1.312336e-18,1.0,2.3255814e-17
14,0.9772008,1.0,0.881078,0.8898978,0.8348598,0.7952148,0.9999984,0.67092866,0.9998877,1.58303e-19,1.0,6.451613e-18
15,0.9958917,0.9181096,0.67166215,0.43421054,0.99992347,0.9147331,1.0,0.59292036,1.0,1.0,1.0,2.173913e-17
16,0.977577,0.99982417,0.20504732,0.7598949,0.85680866,0.48537284,0.22281295,0.48182106,0.32717127,1.6686134e-19,1.0,9.174312e-18
17,0.99548113,1.0,1.0,0.67101973,1.0,0.9994724,5.263158e-18,0.70192033,1.0,1.0,1.0,1.0
18,0.9925711,0.76386845,0.82197416,0.8245776,0.6437177,0.8903038,0.007453416,0.8331808,5.7142857e-18,1.1013216e-18,3.3333333e-16,1.0
19,0.98907864,0.5894902,0.9946213,0.83579355,0.9866386,0.91508573,0.9987533,0.9025732,0.9979875,1.6380017e-19,3.1308703e-19,3.5714287e-17
20,0.99427646,1.0,1.0,1.540832e-18,0.99986976,0.9957929,1.0,2.173913e-18,1.0,1.0,1.0,1.0
21,0.99747574,1.0,0.99996746,1.0,0.9999821,0.99752647,1.0,1.0,1.0,1.0,1.0,1.0
22,0.9974543,1.0,1.0,0.47188532,0.9982391,1.0,1.0,0.6544304,1.0,1.0,1.0,1.0
23,0.99205244,0.9271639,0.79754835,0.40833333,0.999943,0.93076664,1.0,0.32665777,1.0,1.0,6.839945e-19,2.4509804e-18
24,0.9801767,0.5698303,0.7091685,0.93556464,0.99106675,0.8495392,0.53652966,0.9151442,0.5084827,1.0,4.255319e-18,3.968254e-18
25,0.9996206,1.0,1.0,1.0,1.0,0.9996206,1.0,1.0,1.0,1.0,1.0,1.0
26,0.9999121,1.0,1.0,1.0,1.0,0.9999121,1.0,1.0,1.0,1.0,1.0,1.0
27,0.9920961,1.0,1.0,0.63782626,0.99871254,0.995811,2.2222222e-17,0.72049975,1.0,1.0,1.0,1.0
28,0.99392295,1.0,1.0,0.93345875,0.96768713,0.99969065,0.37166324,0.868475,0.9999479,4.987531e-19,1.0,1.0
29,0.9789821,9.910802e-19,0.10741234,0.89520204,0.8201167,0.74830186,0.25223613,0.4644782,0.5495032,5.488474e-19,1.0,1.0869565e-17
30,0.99407303,1.0,1.0,0.96035874,0.97231066,0.5560491,0.99992836,0.8286219,0.9600435,2.1505377e-18,1.0,1.0
31,0.99940395,1.0,1.0,0.999847,1.0,0.9995571,1.0,1.0,1.0,1.0,1.0,1.0
32,0.9783521,0.39899185,0.7743487,0.80619913,0.9818442,0.80278456,0.4291686,0.75431573,0.528232,1.0,1.0,1.0
33,0.9832111,0.69099313,0.7549535,0.82645077,0.013055304,0.87714756,1.0,0.77172506,0.99919367,1.0,1.9230769e-19,5.780347e-18
34,0.9995473,1.0,1.0,0.6031746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9525692e-18
35,0.99865633,1.0,1.0,0.8888889,0.99952286,0.99919534,1.0,0.90909094,1.0,1.0,1.0,1.0
36,0.99187857,1.0,0.7922307,0.9113579,0.9360532,0.9020857,0.8874062,0.9820126,0.937751,1.7094017e-18,1.0,6.5359478e-18
37,0.99725235,1.0,0.99979,0.6380789,0.9982489,0.9995848,1.0,0.5273632,1.0,1.0,1.0,1.0
38,0.9895957,0.9351421,0.8898515,0.46066022,0.5930111,0.9359359,0.6084877,0.7737181,0.91548115,1.754386e-18,5.0175613e-19,9.009009e-18
39,0.9706018,0.9988284,0.73704064,0.9557149,0.23504707,0.6598268,0.46011436,0.7735502,0.8189158,1.0,1.0,5.882353e-18
40,0.990327,0.015644897,0.98970133,0.6372481,0.9950932,0.857666,1.0,0.46007603,1.0,1.0,4.2211903e-19,2.0833333e-17
41,0.99663544,1.0,1.0,0.67167974,3.3333333e-16,1.0,1.0,0.7872729,1.0,6.1349695e-18,1.0,1.0
42,0.9996141,1.0,1.0,1.0,1.0,0.9996141,1.0,1.0,1.0,1.0,1.0,1.0
43,0.99643195,1.0,1.0,0.7345259,0.99960274,0.99990886,1.0,0.80190754,1.0,1.0,1.0,1.0
44,0.989807,1.0,0.99997234,0.53521127,0.99577487,0.99418515,1.0,0.99998045,1.0,1.0,1.0,1.0
45,0.9944816,0.96524376,0.94188005,0.5793832,0.9986962,0.9542181,1.0,0.8330569,1.0,1.0,4.557885e-19,1.369863e-17
46,0.9583209,0.99798584,0.3881714,0.85587764,0.8519321,0.36280185,3.2467532e-18,0.7421929,0.8630577,1.1682243e-18,1.0,5.464481e-18
47,0.9994297,1.0,1.0,0.43243244,1.0,0.99986,1.0,0.25316456,1.0,1.0,1.0,1.0
48,0.99996746,1.0,1.0,1.0,1.0,0.99996746,1.0,1.0,1.0,1.0,1.0,1.0
49,0.9972696,1.0,1.0,1.0,1.0,0.9972696,1.0,1.0,1.0,1.0,1.0,1.0
50,0.9988675,1.0,1.0,1.0,0.9998307,0.99903715,1.0,1.0,1.0,1.0,1.0,1.0
51,0.9997981,1.0,1.0,1.0,1.0,0.9997981,1.0,1.0,1.0,1.0,1.0,1.0
52,0.99952453,1.0,1.0,1.0,1.0,0.99952453,1.0,1.0,1.0,1.0,1.0,1.0
53,0.98805016,0.6587135,0.5789917,0.7869902,0.04377629,0.8824094,1.0,0.774652,0.49413666,1.0,1.5479877e-18,6.802721e-18
54,0.99906325,1.0,1.0,1.0,1.0,0.99906325,1.0,1.0,1.0,1.0,1.0,1.0
55,0.99945694,1.0,1.0,0.64666665,1.0,1.0,1.0,0.55573,1.0,1.0,1.0,1.0
56,0.99191403,0.5033864,1.4184397e-18,0.30183727,0.9950028,0.76515555,0.99973136,0.5527531,1.0,1.0,1.0,6.7114093e-18
57,0.9880024,1.0,0.8047071,0.9784991,0.6916754,0.7418546,0.8454231,0.88480484,0.8129146,7.800312e-19,1.0,4.7169813e-18
58,0.9743634,0.9998519,9.718173e-19,0.88823175,0.8808003,0.6266257,0.5772994,0.59062546,0.8190784,5.8892814e-19,1.0,1.0
59,0.98102075,1.0,1.0,0.83785844,0.8978904,0.99375683,0.99968415,0.4256927,2.610966e-18,2.1715525e-19,1.0,1.0
60,0.978186,2.9411765e-18,0.9967555,0.82668227,0.8488876,0.72880805,3.5511363e-19,0.43129867,0.47768524,6.184292e-19,1.0,1.010101e-17
61,0.98153776,0.11830034,0.040733196,0.8461921,0.97909844,0.7357408,7.692307e-18,0.6313776,0.99904203,1.0,3.2552083e-19,1.923077e-17
62,0.9938234,1.0,0.99982744,0.532201,0.98917776,0.58936024,1.0,0.8141593,1.0,1.0,1.0,1.0
63,0.9896821,1.0,0.7561273,0.97228754,0.78395605,0.87857807,0.976117,0.9180454,0.95381844,1.4285714e-17,1.0,4.526935e-19
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,0.99900293,1.0,1.0,1.0,1.0,0.99900293,1.0,1.0,1.0,1.0,1.0,1.0
66,0.9802249,0.99759185,0.15654902,1.6380017e-19,1.1806376e-19,0.9410329,2.8665615e-20,0.9893756,2.3057414e-19,1.0,1.0,1.3513513e-17
67,0.99965155,1.0,1.0,0.62650603,1.0,0.99970204,1.0,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,0.99704534,1.0,1.0,1.0,1.0,0.99704534,1.0,1.0,1.0,1.0,1.0,1.0
70,0.9800598,0.2795389,0.58764523,0.6994287,0.98825395,0.6853039,8.583691e-19,0.69696176,0.6695128,1.0,5.488474e-19,2.5e-16
71,0.99854666,1.0,1.0,0.85361874,0.99996746,1.0,1.0,0.80626154,1.0,1.0,1.0,1.0
72,0.97934926,0.9999642,0.99996907,0.7118056,0.9990502,0.9948154,0.017191976,0.6443004,1.0,2.0149104e-19,1.0,1.0
73,0.95846575,0.9970142,0.6587269,0.6527125,0.48835427,0.6853658,0.43295512,0.554401,0.6018194,1.0526316e-17,1.0,3.5714287e-17
74,0.99902004,1.0,1.0,3.2679739e-18,1.0,0.9993974,1.0,3.4364261e-18,1.0,1.0,1.0,6.329114e-18
75,0.9947725,0.91954535,0.9279822,0.59770113,1.0,0.9603277,1.0,0.7209232,1.0,1.0,1.0,3.030303e-17
76,0.97391367,0.8915822,0.6587065,0.9360124,0.060013335,0.7686011,0.90495193,0.79912615,0.690793,1.0,1.0,2.3640663e-18
77,0.9951918,0.9998453,0.99921817,1.0,0.99992025,0.9962162,1.0,1.0,1.0,1.0,1.0,1.0
78,0.99742645,0.9391422,5.952381e-18,0.7280702,0.99887896,0.97664803,0.99997556,0.08488964,1.0,1.0,1.0,1.0
79,0.9672924,0.9998535,0.9980104,0.96898484,0.9630635,0.33414012,0.9997558,0.85387295,0.9658249,6.25e-19,1.0,1.0
80,0.99669284,1.0,1.0,0.624912,0.99974275,1.0,1.0,0.8052186,1.0,1.0,1.0,1.0
81,0.9923531,0.5327791,0.9954711,0.21711132,0.9996353,0.9024222,1.0,0.19593346,1.0,1.0,2.6455027e-18,1.3157895e-17
82,0.99729574,1.0,1.0,0.99972,1.0,0.99759024,0.999987,1.0,1.0,1.0,1.0,1.0
83,0.97199136,1.0,0.9997086,0.8589768,0.8309008,0.16133493,1.0,0.8171865,1.0,2.5706941e-18,1.0,4.9504952e-18
84,0.997033,1.0,0.9999479,0.42137405,0.9994219,0.9985901,1.0,0.43470484,1.0,1.0,1.0,1.0
85,0.9997053,1.0,1.0,1.0,1.0,0.9997053,1.0,1.0,1.0,1.0,1.0,1.0
86,0.98823196,1.0,1.0,0.80555207,0.9109827,0.9972647,1.1312217e-18,0.6508827,0.999847,2.3046785e-19,1.0,1.0
87,0.9889806,1.0,0.99986976,0.40991735,0.991868,0.9985477,1.0,0.4464832,1.0,1.0,1.0,1.0
88,0.998572,1.0,1.0,0.4234694,1.0,0.9992051,1.0,0.59934855,5.9171596e-18,1.0,1.0,1.0
89,0.98944867,1.0,0.9999121,0.91701925,0.9611478,0.73131776,0.99810517,0.85248065,0.7293653,1.0319918e-18,1.0,3.1152648e-18
90,0.99075335,1.0,0.99959457,0.54070663,0.99941534,0.9926465,1.2987013e-17,0.5282093,1.0,1.0,1.0,1.0
91,0.99971837,1.0,1.0,0.99979323,1.0,0.99996096,1.0,0.9999642,1.0,1.0,1.0,1.0
92,0.99048316,0.5225854,0.72444206,0.6940885,0.9886603,0.91647923,0.99852973,0.21432287,9.460738e-19,1.0,3.2133677e-19,4.62963e-18
93,0.9993306,1.0,1.0,1.0,1.0,0.9993306,1.0,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,0.99434435,0.71548617,7.54717e-19,0.6399714,0.99755424,0.84421915,1.5151515e-17,0.7591445,1.0,1.0,1.0460251e-18,6.25e-17
96,0.99744654,1.0,1.0,0.64483345,1.0,0.99923605,1.0,0.5214221,1.0,1.0,1.0,1.0
97,0.991428,0.99997884,0.999342,0.9619573,0.92260826,0.6359033,0.5143745,0.92706347,0.9666319,1.4880952e-18,1.3568521e-18,1.2820513e-17
98,0.98938483,1.0,0.89875084,0.9757219,0.9256535,0.8918806,0.6673133,0.9724771,0.9588105,3.1075203e-19,1.0,2.7027026e-17
99,0.97104037,0.99949354,0.48739892,0.9257235,0.6386651,0.59262335,0.75199825,0.5862911,0.8570827,1.0604454e-18,1.0,4.255319e-18
100,0.99247444,0.29139072,0.99967766,0.8302446,0.9995457,0.78950393,1.0,0.77655053,1.0,1.0,1.0,1.6129033e-17
101,0.9901557,0.74269396,0.83166003,0.5504886,0.99926215,0.90160865,1.0,0.6717886,1.0,1.0,1.0,1.2820513e-17
102,0.99487233,0.92393214,0.9306319,0.98095995,0.55888563,0.9118877,0.9436022,0.9544966,0.8751515,1.0,1.0,2.5641026e-17
103,0.9947045,0.91266376,0.9423056,0.98111385,0.72515213,0.90750635,0.9072362,0.92661303,0.8488306,1.0,1.0,2.5e-17
104,0.99698395,1.0,0.99969226,0.6749482,0.9985983,0.9990469,1.0,0.5414847,1.0,1.0,1.0,1.0
105,0.9999463,1.0,1.0,1.0,1.0,0.9999463,1.0,1.0,1.0,1.0,1.0,1.0
106,0.9980217,1.0,1.0,0.021304926,0.9998909,0.99960923,1.0,0.9996988,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
108,0.9966707,1.0,1.0,0.48315188,1.0,1.0,1.0,0.37391043,1.0,1.0,1.0,1.0
109,0.9999365,1.0,1.0,1.0,0.99997234,0.9999642,1.0,1.0,1.0,1.0,1.0,1.0
110,0.9936956,1.0,1.0,0.9883055,0.96341825,0.69456315,0.5657568,0.98911726,1.0,1.7035775e-18,1.0,1.0
111,0.99996746,1.0,1.0,1.0,1.0,0.99996746,1.0,1.0,1.0,1.0,1.0,1.0
