,Image,F1,Jaccard,Recall,Precision
0,.\files\images\heart33-slice537_coronal.png,0.9983561197916667,0.9967176353975399,0.9983561197916667,0.9983561197916667
1,.\files\images\heart1-slice302_coronal.png,0.9268815104166667,0.863727090171145,0.9268815104166667,0.9268815104166667
2,.\files\images\heart29-slice206_coronal.png,0.9849869791666667,0.9704180724282581,0.9849869791666667,0.9849869791666667
3,.\files\images\heart14-slice114_coronal.png,0.9998567708333334,0.9997135826899793,0.9998567708333334,0.9998567708333334
4,.\files\images\heart5-slice551_coronal.png,1.0,1.0,1.0,1.0
5,.\files\images\heart3-slice410_coronal.png,0.9783170572916666,0.957554458820943,0.9783170572916666,0.9783170572916666
6,.\files\images\heart20-slice271_coronal.png,0.9576302083333333,0.9187048742099083,0.9576302083333333,0.9576302083333333
7,.\files\images\heart0-slice589_coronal.png,0.9851204427083333,0.9706771957622742,0.9851204427083333,0.9851204427083333
8,.\files\images\heart19-slice203_coronal.png,0.991611328125,0.9833622250844962,0.991611328125,0.991611328125
9,.\files\images\heart31-slice556_coronal.png,0.991162109375,0.982479066840908,0.991162109375,0.991162109375
10,.\files\images\heart15-slice115_coronal.png,0.9993782552083333,0.9987572830694458,0.9993782552083333,0.9993782552083333
11,.\files\images\heart17-slice161_coronal.png,0.9703385416666667,0.9423859986342599,0.9703385416666667,0.9703385416666667
12,.\files\images\heart29-slice559_coronal.png,0.9870963541666666,0.9745214742065278,0.9870963541666666,0.9870963541666666
13,.\files\images\heart14-slice316_coronal.png,0.9439095052083334,0.8937771051471654,0.9439095052083334,0.9439095052083334
14,.\files\images\heart15-slice251_coronal.png,0.9463444010416666,0.8981534402486383,0.9463444010416666,0.9463444010416666
15,.\files\images\heart14-slice416_coronal.png,0.9877734375,0.9758422413460425,0.9877734375,0.9877734375
16,.\files\images\heart7-slice264_coronal.png,0.9313216145833333,0.8714704323510957,0.9313216145833333,0.9313216145833333
17,.\files\images\heart25-slice150_coronal.png,0.9875130208333334,0.9753340449337055,0.9875130208333334,0.9875130208333334
18,.\files\images\heart7-slice340_coronal.png,0.9711067708333333,0.9438362925372379,0.9711067708333333,0.9711067708333333
19,.\files\images\heart2-slice372_coronal.png,0.9330403645833333,0.8744851572749184,0.9330403645833333,0.9330403645833333
20,.\files\images\heart10-slice078_coronal.png,0.9881868489583333,0.9766495404225475,0.9881868489583333,0.9881868489583333
21,.\files\images\heart1-slice512_coronal.png,0.9949641927083334,0.9899788499969231,0.9949641927083334,0.9949641927083334
22,.\files\images\heart9-slice152_coronal.png,0.99404296875,0.988156489661198,0.99404296875,0.99404296875
23,.\files\images\heart17-slice433_coronal.png,0.975576171875,0.9523169464542759,0.975576171875,0.975576171875
24,.\files\images\heart23-slice329_coronal.png,0.9404947916666667,0.8876735897751014,0.9404947916666667,0.9404947916666667
25,.\files\images\heart20-slice597_coronal.png,0.9992415364583334,0.998484222578578,0.9992415364583334,0.9992415364583334
26,.\files\images\heart9-slice019_coronal.png,0.99982421875,0.9996484992872346,0.99982421875,0.99982421875
27,.\files\images\heart33-slice185_coronal.png,0.9830859375,0.9667345292513349,0.9830859375,0.9830859375
28,.\files\images\heart26-slice272_coronal.png,0.9856901041666667,0.9717839766877624,0.9856901041666667,0.9856901041666667
29,.\files\images\heart18-slice232_coronal.png,0.9160286458333333,0.8450672080145107,0.9160286458333333,0.9160286458333333
30,.\files\images\heart17-slice281_coronal.png,0.9865397135416667,0.9734369730354763,0.9865397135416667,0.9865397135416667
31,.\files\images\heart7-slice064_coronal.png,0.99880859375,0.9976200230194495,0.99880859375,0.99880859375
32,.\files\images\heart21-slice334_coronal.png,0.88384765625,0.7918700894185171,0.88384765625,0.88384765625
33,.\files\images\heart0-slice382_coronal.png,0.9202734375,0.8523208277558699,0.9202734375,0.9202734375
34,.\files\images\heart6-slice508_coronal.png,0.9990950520833334,0.9981917405472912,0.9990950520833334,0.9990950520833334
35,.\files\images\heart2-slice104_coronal.png,0.9973177083333333,0.9946497675505804,0.9973177083333333,0.9973177083333333
36,.\files\images\heart30-slice282_coronal.png,0.9816048177083333,0.9638741765249272,0.9816048177083333,0.9816048177083333
37,.\files\images\heart7-slice168_coronal.png,0.9943912760416667,0.988845116744302,0.9943912760416667,0.9943912760416667
38,.\files\images\heart19-slice356_coronal.png,0.9681803385416666,0.9383232116097484,0.9681803385416666,0.9681803385416666
39,.\files\images\heart31-slice315_coronal.png,0.9211002604166667,0.853740367730918,0.9211002604166667,0.9211002604166667
40,.\files\images\heart29-slice473_coronal.png,0.9473177083333333,0.8999084679514138,0.9473177083333333,0.9473177083333333
41,.\files\images\heart28-slice140_coronal.png,0.9857421875,0.9718852301174659,0.9857421875,0.9857421875
42,.\files\images\heart33-slice012_coronal.png,0.999228515625,0.998458220708633,0.999228515625,0.999228515625
43,.\files\images\heart6-slice176_coronal.png,0.9909733072916667,0.9821081190942437,0.9909733072916667,0.9909733072916667
44,.\files\images\heart20-slice099_coronal.png,0.9798209635416667,0.9604402056164825,0.9798209635416667,0.9798209635416667
45,.\files\images\heart30-slice426_coronal.png,0.9753776041666666,0.951938595265024,0.9753776041666666,0.9753776041666666
46,.\files\images\heart0-slice271_coronal.png,0.896875,0.8130311614730878,0.896875,0.896875
47,.\files\images\heart7-slice462_coronal.png,0.9986328125,0.9972693582992003,0.9986328125,0.9986328125
48,.\files\images\heart30-slice517_coronal.png,0.9999348958333333,0.9998698001432198,0.9999348958333333,0.9999348958333333
49,.\files\images\heart32-slice006_coronal.png,0.9945540364583333,0.9891670686657623,0.9945540364583333,0.9945540364583333
50,.\files\images\heart1-slice568_coronal.png,0.9977376302083333,0.9954854739440394,0.9977376302083333,0.9977376302083333
51,.\files\images\heart8-slice493_coronal.png,0.9995963541666667,0.999193034061772,0.9995963541666667,0.9995963541666667
52,.\files\images\heart16-slice090_coronal.png,0.9990494791666666,0.9981007635971018,0.9990494791666666,0.9990494791666666
53,.\files\images\heart22-slice366_coronal.png,0.9164029947916666,0.8457046211709289,0.9164029947916666,0.9164029947916666
54,.\files\images\heart31-slice572_coronal.png,0.9981282552083334,0.9962635041832507,0.9981282552083334,0.9981282552083334
55,.\files\images\heart12-slice077_coronal.png,0.99865234375,0.9973083149661589,0.99865234375,0.99865234375
56,.\files\images\heart20-slice434_coronal.png,0.9683919270833333,0.9387207724590578,0.9683919270833333,0.9683919270833333
57,.\files\images\heart12-slice288_coronal.png,0.9544108072916667,0.9127971233324512,0.9544108072916667,0.9544108072916667
58,.\files\images\heart23-slice252_coronal.png,0.932568359375,0.8736562828781849,0.932568359375,0.932568359375
59,.\files\images\heart1-slice251_coronal.png,0.95533203125,0.9144838932824798,0.95533203125,0.95533203125
60,.\files\images\heart18-slice222_coronal.png,0.9123470052083333,0.8388217653766382,0.9123470052083333,0.9123470052083333
61,.\files\images\heart29-slice435_coronal.png,0.9051302083333334,0.8267012344504436,0.9051302083333334,0.9051302083333334
62,.\files\images\heart2-slice435_coronal.png,0.965673828125,0.9336260208657886,0.965673828125,0.965673828125
63,.\files\images\heart13-slice257_coronal.png,0.9640950520833333,0.9306790685981837,0.9640950520833333,0.9640950520833333
64,.\files\images\heart14-slice583_coronal.png,1.0,1.0,1.0,1.0
