,Image,F1,Jaccard,Recall,Precision
0,.\files\images\heart10-slice000_saggital.png,1.0,1.0,1.0,1.0
1,.\files\images\heart10-slice001_saggital.png,1.0,1.0,1.0,1.0
2,.\files\images\heart10-slice002_saggital.png,1.0,1.0,1.0,1.0
3,.\files\images\heart10-slice003_saggital.png,1.0,1.0,1.0,1.0
4,.\files\images\heart10-slice004_saggital.png,1.0,1.0,1.0,1.0
5,.\files\images\heart10-slice005_saggital.png,1.0,1.0,1.0,1.0
6,.\files\images\heart10-slice006_saggital.png,1.0,1.0,1.0,1.0
7,.\files\images\heart10-slice007_saggital.png,1.0,1.0,1.0,1.0
8,.\files\images\heart10-slice008_saggital.png,1.0,1.0,1.0,1.0
9,.\files\images\heart10-slice009_saggital.png,1.0,1.0,1.0,1.0
10,.\files\images\heart10-slice010_saggital.png,1.0,1.0,1.0,1.0
11,.\files\images\heart10-slice011_saggital.png,1.0,1.0,1.0,1.0
12,.\files\images\heart10-slice012_saggital.png,1.0,1.0,1.0,1.0
13,.\files\images\heart10-slice013_saggital.png,1.0,1.0,1.0,1.0
14,.\files\images\heart10-slice014_saggital.png,1.0,1.0,1.0,1.0
15,.\files\images\heart10-slice015_saggital.png,1.0,1.0,1.0,1.0
16,.\files\images\heart10-slice016_saggital.png,1.0,1.0,1.0,1.0
17,.\files\images\heart10-slice017_saggital.png,1.0,1.0,1.0,1.0
18,.\files\images\heart10-slice018_saggital.png,1.0,1.0,1.0,1.0
19,.\files\images\heart10-slice019_saggital.png,1.0,1.0,1.0,1.0
20,.\files\images\heart10-slice020_saggital.png,1.0,1.0,1.0,1.0
21,.\files\images\heart10-slice021_saggital.png,1.0,1.0,1.0,1.0
22,.\files\images\heart10-slice022_saggital.png,1.0,1.0,1.0,1.0
23,.\files\images\heart10-slice023_saggital.png,1.0,1.0,1.0,1.0
24,.\files\images\heart10-slice024_saggital.png,1.0,1.0,1.0,1.0
25,.\files\images\heart10-slice025_saggital.png,1.0,1.0,1.0,1.0
26,.\files\images\heart10-slice026_saggital.png,1.0,1.0,1.0,1.0
27,.\files\images\heart10-slice027_saggital.png,1.0,1.0,1.0,1.0
28,.\files\images\heart10-slice028_saggital.png,1.0,1.0,1.0,1.0
29,.\files\images\heart10-slice029_saggital.png,1.0,1.0,1.0,1.0
30,.\files\images\heart10-slice030_saggital.png,1.0,1.0,1.0,1.0
31,.\files\images\heart10-slice031_saggital.png,1.0,1.0,1.0,1.0
32,.\files\images\heart10-slice032_saggital.png,1.0,1.0,1.0,1.0
33,.\files\images\heart10-slice033_saggital.png,1.0,1.0,1.0,1.0
34,.\files\images\heart10-slice034_saggital.png,1.0,1.0,1.0,1.0
35,.\files\images\heart10-slice035_saggital.png,1.0,1.0,1.0,1.0
36,.\files\images\heart10-slice036_saggital.png,1.0,1.0,1.0,1.0
37,.\files\images\heart10-slice037_saggital.png,1.0,1.0,1.0,1.0
38,.\files\images\heart10-slice038_saggital.png,1.0,1.0,1.0,1.0
39,.\files\images\heart10-slice039_saggital.png,1.0,1.0,1.0,1.0
40,.\files\images\heart10-slice040_saggital.png,1.0,1.0,1.0,1.0
41,.\files\images\heart10-slice041_saggital.png,1.0,1.0,1.0,1.0
42,.\files\images\heart10-slice042_saggital.png,1.0,1.0,1.0,1.0
43,.\files\images\heart10-slice043_saggital.png,1.0,1.0,1.0,1.0
44,.\files\images\heart10-slice044_saggital.png,1.0,1.0,1.0,1.0
45,.\files\images\heart10-slice045_saggital.png,1.0,1.0,1.0,1.0
46,.\files\images\heart10-slice046_saggital.png,1.0,1.0,1.0,1.0
47,.\files\images\heart10-slice047_saggital.png,1.0,1.0,1.0,1.0
48,.\files\images\heart10-slice048_saggital.png,1.0,1.0,1.0,1.0
49,.\files\images\heart10-slice049_saggital.png,1.0,1.0,1.0,1.0
50,.\files\images\heart10-slice050_saggital.png,1.0,1.0,1.0,1.0
51,.\files\images\heart10-slice051_saggital.png,1.0,1.0,1.0,1.0
52,.\files\images\heart10-slice052_saggital.png,1.0,1.0,1.0,1.0
53,.\files\images\heart10-slice053_saggital.png,1.0,1.0,1.0,1.0
54,.\files\images\heart10-slice054_saggital.png,1.0,1.0,1.0,1.0
55,.\files\images\heart10-slice055_saggital.png,1.0,1.0,1.0,1.0
56,.\files\images\heart10-slice056_saggital.png,1.0,1.0,1.0,1.0
57,.\files\images\heart10-slice057_saggital.png,1.0,1.0,1.0,1.0
58,.\files\images\heart10-slice058_saggital.png,1.0,1.0,1.0,1.0
59,.\files\images\heart10-slice059_saggital.png,1.0,1.0,1.0,1.0
60,.\files\images\heart10-slice060_saggital.png,1.0,1.0,1.0,1.0
61,.\files\images\heart10-slice061_saggital.png,1.0,1.0,1.0,1.0
62,.\files\images\heart10-slice062_saggital.png,1.0,1.0,1.0,1.0
63,.\files\images\heart10-slice063_saggital.png,1.0,1.0,1.0,1.0
64,.\files\images\heart10-slice064_saggital.png,1.0,1.0,1.0,1.0
65,.\files\images\heart10-slice065_saggital.png,1.0,1.0,1.0,1.0
66,.\files\images\heart10-slice066_saggital.png,1.0,1.0,1.0,1.0
67,.\files\images\heart10-slice067_saggital.png,1.0,1.0,1.0,1.0
68,.\files\images\heart10-slice068_saggital.png,1.0,1.0,1.0,1.0
69,.\files\images\heart10-slice069_saggital.png,1.0,1.0,1.0,1.0
70,.\files\images\heart10-slice070_saggital.png,1.0,1.0,1.0,1.0
71,.\files\images\heart10-slice071_saggital.png,1.0,1.0,1.0,1.0
72,.\files\images\heart10-slice072_saggital.png,1.0,1.0,1.0,1.0
73,.\files\images\heart10-slice073_saggital.png,1.0,1.0,1.0,1.0
74,.\files\images\heart10-slice074_saggital.png,1.0,1.0,1.0,1.0
75,.\files\images\heart10-slice075_saggital.png,1.0,1.0,1.0,1.0
76,.\files\images\heart10-slice076_saggital.png,1.0,1.0,1.0,1.0
77,.\files\images\heart10-slice077_saggital.png,1.0,1.0,1.0,1.0
78,.\files\images\heart10-slice078_saggital.png,1.0,1.0,1.0,1.0
79,.\files\images\heart10-slice079_saggital.png,1.0,1.0,1.0,1.0
80,.\files\images\heart10-slice080_saggital.png,1.0,1.0,1.0,1.0
81,.\files\images\heart10-slice081_saggital.png,1.0,1.0,1.0,1.0
82,.\files\images\heart10-slice082_saggital.png,1.0,1.0,1.0,1.0
83,.\files\images\heart10-slice083_saggital.png,1.0,1.0,1.0,1.0
84,.\files\images\heart10-slice084_saggital.png,1.0,1.0,1.0,1.0
85,.\files\images\heart10-slice085_saggital.png,1.0,1.0,1.0,1.0
86,.\files\images\heart10-slice086_saggital.png,1.0,1.0,1.0,1.0
87,.\files\images\heart10-slice087_saggital.png,1.0,1.0,1.0,1.0
88,.\files\images\heart10-slice088_saggital.png,1.0,1.0,1.0,1.0
89,.\files\images\heart10-slice089_saggital.png,0.9999772135416667,0.9999544281217551,0.9999772135416667,0.9999772135416667
90,.\files\images\heart10-slice090_saggital.png,0.9996451822916667,0.9992906162852373,0.9996451822916667,0.9996451822916667
91,.\files\images\heart10-slice091_saggital.png,0.9994791666666667,0.9989588755856325,0.9994791666666667,0.9994791666666667
92,.\files\images\heart10-slice092_saggital.png,0.9978255208333333,0.9956604778671378,0.9978255208333333,0.9978255208333333
93,.\files\images\heart10-slice093_saggital.png,0.9955729166666667,0.9911848586984703,0.9955729166666667,0.9955729166666667
94,.\files\images\heart10-slice094_saggital.png,0.9931705729166667,0.9864337952395424,0.9931705729166667,0.9931705729166667
95,.\files\images\heart10-slice095_saggital.png,0.991298828125,0.9827477708609657,0.991298828125,0.991298828125
96,.\files\images\heart10-slice096_saggital.png,0.9904850260416667,0.9811494149095681,0.9904850260416667,0.9904850260416667
