,background,left_ventricle,right_ventricle,left_atrium,right_atrium,myocardium,descending_aorta,pulmonary_trunk,ascending_aorta,vena_cava,auricle,coronary_artery
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9831006,2.7277687e-19,1.0,0.84189945,0.8362469,0.9273488,0.6054985,0.91993266,3.4071551e-19,2.5608193e-19,2.9620854e-19,6.25e-17
2,0.99646664,2.9568303e-19,1.0752688e-19,0.9907734,0.93948716,0.87041354,1.0,1.0,1.0,1.0,1.0,2.3310024e-18
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9995114,1.0,1.0,0.64026403,1.0,0.99987954,1.0,0.8568608,1.0,1.0,1.0,1.0
6,0.99428886,1.1039965e-19,1.0,0.07368574,0.96401966,0.82649297,0.9993681,0.55889356,1.8556318e-19,2.1141649e-18,1.0,1.25e-16
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.99643725,1.0,1.0,1.0,0.8583247,0.89009327,1.0,1.0,1.0,1.0,1.0,1.7241379e-17
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9972487,9.69556e-20,3.6820207e-20,0.9802642,0.98093903,0.7483972,0.9996206,0.6326909,1.0,1.0,1.0,4.237288e-18
11,0.9974889,1.0,1.5782828e-19,0.006818182,0.9305466,0.87493646,1.0,2.5e-17,1.0,1.0,1.0,1.1494253e-17
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.98283374,1.6989466e-19,1.0,0.82628524,0.691831,0.8498984,0.95507425,0.8714747,4.7619047e-17,1.2386969e-19,1.0,7.1428575e-17
14,0.9861043,7.2254335e-19,1.0,0.89011675,0.94200647,0.7761855,0.90489733,0.71831644,1.0,1.0,8.695652e-18,4.464286e-18
15,0.99893606,1.0,1.0,0.99919367,0.99997884,1.0,1.0,0.99976397,1.0,1.0,1.0,1.0
