,Image,F1,Jaccard,Recall,Precision
0,.\files\images\heart33-slice537_saggital.png,1.0,1.0,1.0,1.0
1,.\files\images\heart1-slice302_saggital.png,0.9418815104166667,0.8901474831874089,0.9418815104166667,0.9418815104166667
2,.\files\images\heart29-slice206_saggital.png,0.9511067708333333,0.9067717708397989,0.9511067708333333,0.9511067708333333
3,.\files\images\heart14-slice114_saggital.png,1.0,1.0,1.0,1.0
4,.\files\images\heart5-slice551_saggital.png,1.0,1.0,1.0,1.0
5,.\files\images\heart3-slice410_saggital.png,0.9987434895833334,0.9974901328408965,0.9987434895833334,0.9987434895833334
6,.\files\images\heart20-slice271_saggital.png,0.9405110677083334,0.8877025885244643,0.9405110677083334,0.9405110677083334
7,.\files\images\heart0-slice589_saggital.png,1.0,1.0,1.0,1.0
8,.\files\images\heart19-slice203_saggital.png,0.992509765625,0.9851309042620218,0.992509765625,0.992509765625
9,.\files\images\heart31-slice556_saggital.png,1.0,1.0,1.0,1.0
10,.\files\images\heart15-slice115_saggital.png,0.8726204427083334,0.774025426542816,0.8726204427083334,0.8726204427083334
11,.\files\images\heart17-slice161_saggital.png,0.9735091145833333,0.9483855418630168,0.9735091145833333,0.9735091145833333
12,.\files\images\heart29-slice559_saggital.png,1.0,1.0,1.0,1.0
13,.\files\images\heart14-slice316_saggital.png,0.9388509114583333,0.8847492982805958,0.9388509114583333,0.9388509114583333
14,.\files\images\heart15-slice251_saggital.png,0.9633268229166667,0.9292483342020812,0.9633268229166667,0.9633268229166667
15,.\files\images\heart14-slice416_saggital.png,0.9978743489583334,0.9957577155330628,0.9978743489583334,0.9978743489583334
16,.\files\images\heart7-slice264_saggital.png,0.9888606770833334,0.9779667892164753,0.9888606770833334,0.9888606770833334
17,.\files\images\heart25-slice150_saggital.png,0.9943880208333333,0.9888386787688881,0.9943880208333333,0.9943880208333333
18,.\files\images\heart7-slice340_saggital.png,0.9990559895833333,0.9981137597970666,0.9990559895833333,0.9990559895833333
19,.\files\images\heart2-slice372_saggital.png,0.9944303385416666,0.9889223757004445,0.9944303385416666,0.9944303385416666
20,.\files\images\heart10-slice078_saggital.png,1.0,1.0,1.0,1.0
21,.\files\images\heart1-slice512_saggital.png,1.0,1.0,1.0,1.0
22,.\files\images\heart9-slice152_saggital.png,0.9911751302083334,0.9825046545621162,0.9911751302083334,0.9911751302083334
23,.\files\images\heart17-slice433_saggital.png,0.9980013020833334,0.9960105778164736,0.9980013020833334,0.9980013020833334
24,.\files\images\heart23-slice329_saggital.png,0.9646158854166667,0.9316502656647908,0.9646158854166667,0.9646158854166667
25,.\files\images\heart20-slice597_saggital.png,1.0,1.0,1.0,1.0
26,.\files\images\heart9-slice019_saggital.png,1.0,1.0,1.0,1.0
27,.\files\images\heart33-slice185_saggital.png,0.9567708333333333,0.9171243135297055,0.9567708333333333,0.9567708333333333
28,.\files\images\heart26-slice272_saggital.png,0.9602571614583333,0.9235525611363486,0.9602571614583333,0.9602571614583333
29,.\files\images\heart18-slice232_saggital.png,0.8731966145833333,0.7749325444744247,0.8731966145833333,0.8731966145833333
30,.\files\images\heart17-slice281_saggital.png,0.8676953125,0.7663090350846932,0.8676953125,0.8676953125
31,.\files\images\heart7-slice064_saggital.png,0.9890885416666667,0.9784126329890003,0.9890885416666667,0.9890885416666667
32,.\files\images\heart21-slice334_saggital.png,0.9607682291666667,0.9244985152794658,0.9607682291666667,0.9607682291666667
33,.\files\images\heart0-slice382_saggital.png,0.984794921875,0.9700453071943207,0.984794921875,0.984794921875
34,.\files\images\heart6-slice508_saggital.png,1.0,1.0,1.0,1.0
35,.\files\images\heart2-slice104_saggital.png,1.0,1.0,1.0,1.0
36,.\files\images\heart30-slice282_saggital.png,0.9551041666666666,0.914066394178048,0.9551041666666666,0.9551041666666666
37,.\files\images\heart7-slice168_saggital.png,0.940751953125,0.8881318742105894,0.940751953125,0.940751953125
38,.\files\images\heart19-slice356_saggital.png,0.9769954427083334,0.9550255037913621,0.9769954427083334,0.9769954427083334
39,.\files\images\heart31-slice315_saggital.png,0.939453125,0.8858195211786372,0.939453125,0.939453125
40,.\files\images\heart29-slice473_saggital.png,0.999697265625,0.9993947144907304,0.999697265625,0.999697265625
41,.\files\images\heart28-slice140_saggital.png,0.9671354166666667,0.9363622611063487,0.9671354166666667,0.9671354166666667
42,.\files\images\heart33-slice012_saggital.png,1.0,1.0,1.0,1.0
43,.\files\images\heart6-slice176_saggital.png,0.96025390625,0.9235465389311543,0.96025390625,0.96025390625
44,.\files\images\heart20-slice099_saggital.png,1.0,1.0,1.0,1.0
45,.\files\images\heart30-slice426_saggital.png,0.99869140625,0.9973862328593442,0.99869140625,0.99869140625
46,.\files\images\heart0-slice271_saggital.png,0.8643587239583334,0.761119503309265,0.8643587239583334,0.8643587239583334
47,.\files\images\heart7-slice462_saggital.png,1.0,1.0,1.0,1.0
